,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35012650011202,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011203,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011204,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011301,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011302,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011303,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011304,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011401,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011402,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650011403,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020001,618,40.1,26831.6,115.9,159,,83.0,63.0,,5.0,,,,,,,,,8.0,58.0,93.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
35012650020002,439,34.0,4120.5,111.8,95,,43.0,,35.0,10.0,,,,,,,,,,19.0,33.0,38.0,5.0,,,65,,,,,,,19.0,,15.0,,,,,,,11.0,,,,,,,9.0,,,19.0,31.0,,35.0,7.0,,,6.0,,,256.0,18.0,,7.0,
35012650020003,366,37.8,5450.7,75.6,139,6.0,,7.0,114.0,,,,,,,,,,6.0,20.0,105.0,,8.0,,,88,,,5.0,,,,24.0,,19.0,,,5.0,,,,13.0,,,19.0,,,,10.0,,,,57.0,,101.0,,,167.0,,,,90.0,6.0,,53.0,
35012650020004,465,38.8,3876.9,87.7,89,,35.0,23.0,,8.0,,,,,,8.0,,,,48.0,17.0,14.0,10.0,,,49,,,,,,,12.0,,14.0,,,5.0,,,,,5.0,,10.0,,,,9.0,,,,45.0,,30.0,,,6.0,,8.0,,,39.0,,12.0,
35012650020005,396,38.7,5671.6,96.9,85,21.0,23.0,28.0,,,,,,,,,,,,67.0,,16.0,,,,78,,,,,,,40.0,,11.0,,,,,,,,,,10.0,,,,,,,84.0,187.0,,39.0,,6.0,,,,,39.0,62.0,,15.0,
35012650020006,552,42.2,11173.9,153.2,136,46.0,55.0,12.0,8.0,5.0,,,5.0,,,,,,,135.0,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,,,,,,,,,,,,,
35012650020007,414,32.6,1207.6,23.8,47,,,,,,,5.0,8.0,5.0,12.0,,9.0,,,28.0,,,17.0,7.0,,245,,,,,,,72.0,,34.0,,,27.0,,,,54.0,9.0,10.0,27.0,,,,12.0,,,,238.0,48.0,135.0,,11.0,35.0,12.0,,,289.0,46.0,23.0,50.0,
35012650020008,589,38.2,6863.8,81.2,184,6.0,91.0,56.0,,10.0,,,,,5.0,,7.0,,11.0,35.0,131.0,,7.0,6.0,,312,,,,,,,65.0,,52.0,,,23.0,,,,82.0,20.0,17.0,43.0,,,,6.0,,,,160.0,,189.0,,16.0,32.0,,,,214.0,218.0,38.0,79.0,
35012650020009,530,35.4,7401.1,70.9,135,,92.0,11.0,,10.0,,6.0,,,,,,,,31.0,72.0,18.0,10.0,15.0,,250,,,6.0,,,,45.0,,93.0,,,11.0,,,,26.0,11.0,30.0,23.0,,,,25.0,,,43.0,146.0,,275.0,,11.0,14.0,,,,64.0,54.0,63.0,38.0,
35012650020010,462,50.4,321.0,269.6,104,16.0,29.0,7.0,,,,,,44.0,,,,,,61.0,,43.0,,7.0,,27,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,28.0,83.0,,,,,6.0,,,,82.0,11.0,5.0,
35012650020011,475,44.5,8755.6,186.0,144,14.0,118.0,7.0,,,,,,,,,,,,78.0,65.0,,,,,18,,,,,,,6.0,,,,,,,,,,,,,,,,8.0,,,10.0,14.0,,22.0,,,,,,,15.0,,,,
35012650020012,492,34.9,2909.0,39.7,56,,,8.0,9.0,6.0,6.0,7.0,8.0,,,,,,,45.0,,,11.0,5.0,,87,,,,,,6.0,22.0,,18.0,,,13.0,,,,,,,17.0,,,,7.0,,,22.0,63.0,,74.0,,,17.0,5.0,75.0,,96.0,16.0,28.0,44.0,
35012650020013,463,42.9,9028.2,175.6,166,19.0,103.0,36.0,,,,,,,,,,,,39.0,95.0,29.0,,,,46,,,,,,,15.0,,6.0,,,,,,,,,,13.0,,,,,,,6.0,84.0,,10.0,,11.0,,,,33.0,78.0,,,17.0,
35012650020014,381,44.2,7545.0,182.9,107,11.0,63.0,15.0,6.0,,,,8.0,,,,,,7.0,90.0,,,10.0,,,97,,,,,,,24.0,,28.0,,,,,,,,11.0,5.0,13.0,,,,,,,32.0,55.0,,73.0,,13.0,8.0,,,,8.0,72.0,12.0,26.0,
35012650020201,559,40.9,38947.4,96.8,171,,,171.0,,,,,,,,,,,,,171.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35012650020301,422,38.8,73873.2,53.0,138,,,138.0,,,,,,,,,,,,,138.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35012650020302,459,38.2,97121.8,48.4,140,,,140.0,,,,,,,,,,,,,140.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020303,423,35.9,59278.6,47.1,143,,,143.0,,,,,,,,,,,,,143.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020304,404,34.8,61606.6,36.4,139,,,139.0,,,,,,,,,,,,,139.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
35012650020401,542,39.4,94628.8,93.0,159,,,159.0,,,,,,,,,,,,,159.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
35012650020402,752,33.1,126061.1,26.1,258,,,258.0,,,,,,,,,,,,,258.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020403,633,36.6,63933.2,50.5,190,,,190.0,,,,,,,,,,,,,190.0,,,,,24,,,,,,,6.0,,,,,,,,,6.0,,,,,,,,,,,9.0,,5.0,,,13.0,,,,7.0,9.0,,5.0,
35012650020404,396,34.6,92728.4,29.1,119,,,119.0,,,,,,,,,,,,,119.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650020601,620,36.4,31175.2,31.3,186,,,,,186.0,,,,,,,,,,,186.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
35012650020602,482,34.8,41335.8,29.5,143,,,,,143.0,,,,,,,,,,,143.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35012650020603,583,33.4,44366.3,15.5,166,,,,,166.0,,,,,,,,,,,166.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020604,509,35.8,41497.7,27.9,141,,,,,141.0,,,,,,,,,,,141.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020605,508,34.9,32100.8,25.0,144,,,,,144.0,,,,,,,,,,,144.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020701,376,31.8,64513.4,11.6,108,,,,,108.0,,,,,,,,,,,108.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650020702,570,34.4,53059.5,21.4,164,,,,,164.0,,,,,,,,,,,164.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650020703,395,30.9,51429.7,13.9,108,,,,,108.0,,,,,,,,,,,108.0,,,,,17,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,20.0,,,,6.0,,,,
35012650020704,621,33.4,52921.5,19.5,176,,,,,176.0,,,,,,,,,,,176.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012650020705,506,34.7,47504.9,18.8,144,,,,,144.0,,,,,,,,,,,144.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650020706,669,31.7,50651.4,14.8,189,,,,,189.0,,,,,,,,,,,189.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,
35012650021001,510,38.3,80268.9,61.7,170,,,,170.0,,,,,,,,,,,,170.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,20.0,,,,,,
35012650021101,825,38.0,89333.8,52.6,264,,,264.0,,,,,,,,,,,,,264.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35012650021201,560,33.6,118971.6,19.4,175,,,175.0,,,,,,,,,,,,,175.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,9.0,7.0,,,
35012650021202,738,34.1,72790.8,25.9,232,,,232.0,,,,,,,,,,,,,232.0,,,,,16,,,,,,,,,,,,,,,,6.0,,,5.0,,,,7.0,,,,,,,,,,,,,7.0,,,5.0,
35012650021301,532,38.5,90267.0,68.2,190,,,190.0,,,,,,,,,,,,,190.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650021401,730,40.4,65027.0,108.6,235,,,235.0,,,,,,,,,,,,,235.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,7.0,,7.0,
35012650021801,317,46.0,63952.4,203.3,114,,,114.0,,,,,,,,,,,,,110.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650021901,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650021902,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650021903,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650022201,537,29.0,58580.7,7.5,156,,,,,,,,,156.0,,,,,,,156.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650022202,629,27.7,52066.7,6.4,180,,,,,,,,,180.0,,,,,,,180.0,,,,,12,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,5.0,,,6.0,,,,20.0,,,,
35012650022203,629,32.0,48883.6,20.3,196,,,,,,,,,196.0,,,,,,,196.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,13.0,,,,,9.0,,,
35012650022204,454,28.2,53962.1,9.3,122,,,,,,,,,122.0,,,,,,,122.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650022205,621,30.0,48941.4,12.6,185,,,,,,,,,185.0,,,,,,,185.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650022206,458,29.8,57299.6,13.4,127,,,,,,,,,127.0,,,,,,,127.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,9.0,,,
35012650022401,741,36.6,69629.9,45.7,238,,,238.0,,,,,,,,,,,,,238.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,,,,,,,
35012650022501,719,31.8,52971.3,21.4,225,,,,225.0,,,,,,,,,,,,225.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650022502,548,34.1,34270.1,30.5,199,,,,199.0,,,,,,,,,,,,199.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,14.0,,,
35012650022503,711,32.7,59611.8,23.9,242,,,,242.0,,,,,,,,,,,,242.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650022601,706,38.9,63884.6,70.0,266,,108.0,158.0,,,,,,,,,,,,,266.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35012650022602,664,37.1,51822.1,50.5,262,,209.0,53.0,,,,,,,,,,,,,262.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650022701,496,37.9,72926.6,62.5,158,,,158.0,,,,,,,,,,,,,158.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650023001,615,32.0,56347.1,18.1,199,,,199.0,,,,,,,,,,,,,199.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650023002,522,32.0,55867.4,19.3,165,,,165.0,,,,,,,,,,,,,165.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
35012650023003,543,30.9,51470.1,15.9,167,,,167.0,,,,,,,,,,,,,167.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
35012650023004,559,32.9,64162.3,29.8,193,,,193.0,,,,,,,,,,,,,193.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012650023005,601,33.0,56946.1,25.8,184,,,184.0,,,,,,,,,,,,,184.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650023006,566,32.2,80402.7,16.2,199,,,199.0,,,,,,,,,,,,,199.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650023007,673,32.1,46421.2,25.6,225,,,225.0,,,,,,,,,,,,,225.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012650023008,470,31.2,49698.3,17.3,141,,,141.0,,,,,,,,,,,,,141.0,,,,,17,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,15.0,5.0,,,,,,,,,5.0,5.0,,6.0,
35012650023009,599,30.5,62070.1,14.0,197,,,197.0,,,,,,,,,,,,,197.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,18.0,,,
35012650023010,574,31.2,70399.4,17.9,192,,,192.0,,,,,,,,,,,,,192.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012650023101,448,31.0,63210.6,12.4,142,,,141.0,,,,,,,,,,,,,141.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012650023102,451,33.2,106280.0,23.0,130,,,130.0,,,,,,,,,,,,,130.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012650023103,625,32.2,71322.6,23.9,212,,,212.0,,,,,,,,,,,,,212.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
35012650023104,669,35.6,61450.8,33.3,195,,,195.0,,,,,,,,,,,,,195.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
35012650023105,713,35.2,64233.9,32.8,197,,,197.0,,,,,,,,,,,,,197.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,
35012660010001,88,37.8,354.3,46.2,14,,,,,,,,,,,,,,,7.0,,,7.0,12.0,,405,,,,,,14.0,244.0,,63.0,,,10.0,,7.0,,10.0,,13.0,29.0,,,,12.0,,,305.0,769.0,,217.0,,44.0,39.0,21.0,60.0,,49.0,45.0,21.0,91.0,
35012660010101,610,36.1,49946.3,34.3,174,,,,,174.0,,,,,,,,,,,174.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,6.0,,,
35012660010102,588,36.0,54465.1,24.5,173,,,,,173.0,,,,,,,,,,,173.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
35012660010201,673,33.7,56582.9,27.3,202,,,,,202.0,,,,,,,,,,,202.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35012660010202,701,36.7,48096.3,40.5,206,,,,,206.0,,,,,,,,,,,206.0,,,,,15,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,,,,,10.0,,,,8.0,7.0,,8.0,
35012660010301,545,31.2,52430.4,11.2,167,,,,,,,,,,,167.0,,,,,167.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35012660020001,577,48.4,277.2,312.0,192,62.0,33.0,43.0,11.0,17.0,,7.0,,,,5.0,,,,186.0,,,6.0,17.0,,77,,,10.0,,,8.0,32.0,,5.0,,,,,,,,,,,,,,41.0,,9.0,51.0,78.0,114.0,14.0,,,,,10.0,,10.0,32.0,5.0,,
35012660020002,559,50.8,144.0,503.1,198,96.0,15.0,56.0,12.0,11.0,,,,,,,,,,149.0,47.0,,,6.0,,53,,,,,,,22.0,,,,,7.0,,,,,,,6.0,,,,10.0,7.0,,21.0,91.0,18.0,14.0,,,9.0,,,71.0,18.0,91.0,7.0,10.0,
35012660020003,535,50.7,128.3,503.1,194,50.0,24.0,73.0,19.0,6.0,,,7.0,,,,,,6.0,185.0,,,,8.0,,40,,,8.0,,,,26.0,,,,,,,,,,,,,,,,28.0,,7.0,13.0,72.0,6.0,,,,,,,,,,,,
35012660030001,320,41.7,838.5,100.0,104,,5.0,80.0,7.0,,,,,,,,,,,24.0,76.0,,,6.0,,228,,,5.0,,,,131.0,,26.0,,,,,,,7.0,6.0,11.0,31.0,,,,52.0,,,8.0,275.0,87.0,94.0,49.0,,12.0,7.0,,,28.0,54.0,20.0,61.0,
35012660030002,344,35.5,806.7,47.8,101,11.0,,77.0,,,,,,,,,,,,25.0,72.0,,,7.0,,94,,,7.0,,,,22.0,,9.0,,,7.0,,,,17.0,,5.0,16.0,,,,17.0,,,37.0,50.0,,20.0,,,9.0,,10.0,,124.0,58.0,14.0,49.0,
35012660030101,521,38.2,60738.7,61.4,156,,,156.0,,,,,,,,,,,,,156.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,10.0,,,
35012660030102,604,37.9,72589.9,44.0,197,,,197.0,,,,,,,,,,,,,197.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012660030103,714,37.9,65725.0,57.9,228,,,228.0,,,,,,,,,,,,,228.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012660030104,520,40.7,70801.2,75.6,173,,,173.0,,,,,,,,,,,,,173.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012660030301,602,39.4,100377.1,79.8,225,,,225.0,,,,,,,,,,,,,225.0,,,,,18,,,,,,,,,,,,7.0,,,,,,,,,,,,,,27.0,5.0,,,,,7.0,,,,,,,,
35012660030302,471,37.0,74533.0,65.8,186,,,186.0,,,,,,,,,,,,,186.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35012660030401,538,37.5,33213.1,73.7,201,,201.0,,,,,,,,,,,,,,201.0,,,,,19,,,,,,,5.0,,,,,5.0,,,,,,,5.0,,,,,,,,8.0,,,,,9.0,,,,,,,5.0,
35012660030402,568,40.5,24823.8,112.9,263,,262.0,,,,,,,,,,,,,,262.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012660030501,610,35.3,55983.1,28.4,183,,,183.0,,,,,,,,,,,,,183.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35012660030601,586,34.4,65655.5,30.8,169,,,169.0,,,,,,,,,,,,,169.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35012660030602,447,33.6,68007.2,30.0,128,,,128.0,,,,,,,,,,,,,128.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,
35012660030701,839,37.7,77169.1,64.6,328,,,328.0,,,,,,,,,,,,,328.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012660030901,523,36.2,51309.1,34.3,169,,,169.0,,,,,,,,,,,,,169.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,
35012660030902,345,37.0,78834.9,59.3,107,,,107.0,,,,,,,,,,,,,107.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35012660031001,706,37.1,47795.2,48.6,207,,,207.0,,,,,,,,,,,,,207.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012660040001,394,33.9,4953.6,25.7,82,,,5.0,,22.0,,18.0,10.0,6.0,7.0,,,,,62.0,,,20.0,,,206,,,6.0,,,7.0,52.0,,53.0,,,,,,,35.0,8.0,11.0,27.0,,,,12.0,,,49.0,106.0,,150.0,,14.0,,6.0,8.0,57.0,102.0,38.0,25.0,38.0,
35012660040002,454,43.6,4294.0,220.5,133,58.0,47.0,18.0,,,,,7.0,,,,,,13.0,77.0,,34.0,9.0,,,150,,,,,,6.0,59.0,,13.0,,,6.0,,,,13.0,23.0,,18.0,,,,6.0,,,137.0,150.0,,43.0,,13.0,8.0,,,,106.0,156.0,9.0,32.0,
35012660040003,302,39.9,4987.2,86.5,80,,35.0,8.0,,,,7.0,10.0,,,,,,,79.0,,,,,,24,,,,,,,7.0,,,,,,,,,6.0,,,,,,,7.0,,,,17.0,,5.0,7.0,,,,,,136.0,6.0,,,
35012660040005,401,40.3,4662.5,135.0,153,15.0,10.0,8.0,5.0,,,,,,,93.0,15.0,,,49.0,92.0,,12.0,,,137,,,,,,,34.0,,16.0,,,6.0,,,,28.0,7.0,6.0,24.0,,,,20.0,,,,52.0,,56.0,,54.0,14.0,15.0,11.0,17.0,53.0,62.0,9.0,30.0,
35012660040006,405,42.6,11450.1,180.0,98,8.0,72.0,7.0,,,,,,,,,5.0,,,66.0,,27.0,5.0,,,50,,,,,,,12.0,,13.0,,,,,,,,,,14.0,,,,9.0,,,,22.0,,24.0,,,,,,,,,5.0,19.0,
35012660040007,436,39.2,5259.3,68.3,105,25.0,,6.0,,29.0,6.0,5.0,13.0,6.0,,7.0,,,,90.0,,,15.0,,,102,,,,,,9.0,24.0,,36.0,,,,5.0,,,6.0,,5.0,14.0,,,,,,,36.0,91.0,5.0,102.0,,,,21.0,,,8.0,8.0,15.0,30.0,
35012660040008,0,0.0,0.0,0.0,0,,,,,,,,,,,,,0.0,,,,,,,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012660040101,438,35.2,61695.2,28.0,131,,,,,131.0,,,,,,,,,,,131.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,10.0,,,
35012660040102,588,35.6,27539.9,29.5,187,,,,,187.0,,,,,,,,,,,187.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,10.0,,,,,,40.0,5.0,,
35012660040103,589,33.9,50903.8,22.9,175,,,,,175.0,,,,,,,,,,,175.0,,,,,33,,,,,,,8.0,,8.0,,,6.0,,,,,,,6.0,,,,,,,7.0,18.0,,24.0,,10.0,12.0,,,,,,23.0,10.0,
35012660040201,418,42.6,58054.6,112.5,146,,,146.0,,,,,,,,,,,,,146.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35012660040202,436,41.0,54901.7,101.3,138,,,138.0,,,,,,,,,,,,,138.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012660040203,499,43.6,63723.8,142.6,170,,,170.0,,,,,,,,,,,,,170.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
35012660040301,595,39.2,67961.3,78.9,214,,,214.0,,,,,,,,,,,,,214.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35012660040302,457,41.4,67026.7,110.6,153,,,153.0,,,,,,,,,,,,,153.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012660040401,731,35.3,93257.4,41.8,241,,,241.0,,,,,,,,,,,,,239.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,5.0,,,,,,,,
35012660040501,747,36.3,38564.7,59.0,281,,281.0,,,,,,,,,,,,,,281.0,,,,,18,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,16.0,13.0,,,,5.0,,7.0,,,,,,
35012660040601,546,38.6,42970.9,62.2,171,,,,,171.0,,,,,,,,,,,171.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
