,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011610010008,591,44.2,44446.0,153.0,316,,,223.0,92.0,,,,,,,,,,17.0,,297.0,,,,,12,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,6.0,,,10.0,,,,,,,,
35011610010009,510,48.3,6126.4,453.6,196,55.0,123.0,,,13.0,,,,,,,,,11.0,68.0,86.0,29.0,,,,39,,,,,,,14.0,,5.0,,,,,,,,5.0,,5.0,,,,12.0,,,,20.0,,9.0,,,,,,,82.0,259.0,,6.0,
35011610010010,695,44.8,7631.2,231.7,270,15.0,253.0,,,,,,,,,,,,,32.0,184.0,53.0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,485,42.7,36977.6,128.8,188,,,186.0,,,,,,,,,,,,,186.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010012,701,49.9,16611.2,433.3,288,151.0,119.0,10.0,,,,,,,,,,,,88.0,198.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,,,,,,,
35011610010501,568,42.5,38773.9,121.4,232,,115.0,117.0,,,,,,,,,,,,,232.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011610010601,604,38.9,74477.5,72.9,207,,,207.0,,,,,,,,,,,,,207.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35011610010901,436,43.6,80408.4,149.1,182,,,182.0,,,,,,,,,,,,,182.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
35011610011001,593,40.1,36183.7,70.0,220,,,,220.0,,,,,,,,,,,,220.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011610011002,478,41.6,30049.0,113.7,185,,,,185.0,,,,,,,,,,,,185.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011610011101,569,45.7,62735.3,305.4,231,,,231.0,,,,,,,,,,,,,231.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010001,249,50.3,5769.0,325.0,55,,17.0,35.0,,,,,,,,,,,,51.0,,,,,,77,,,5.0,,,7.0,22.0,,11.0,,,,,,,5.0,,,16.0,,,,14.0,,,31.0,79.0,,27.0,,16.0,,9.0,5.0,,10.0,128.0,,23.0,
35011620010002,677,42.1,9208.1,152.1,260,43.0,8.0,129.0,8.0,13.0,,,15.0,43.0,,,,,63.0,53.0,125.0,15.0,,,,17,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,14.0,,6.0,,,,,,,,9.0,,23.0,
35011620010003,828,44.1,10027.4,188.9,186,19.0,82.0,74.0,8.0,,,,,,,,,,5.0,144.0,,32.0,5.0,,,91,,,6.0,,,11.0,21.0,,15.0,,,,,,,,,,27.0,,,,9.0,,,66.0,37.0,,26.0,,,,,,,78.0,29.0,,30.0,
35011620010004,497,41.5,5982.0,269.7,114,13.0,25.0,12.0,34.0,,,,13.0,,,,6.0,,43.0,52.0,,13.0,6.0,11.0,,109,,,,,,,42.0,,17.0,,,,,,,6.0,9.0,5.0,16.0,,,,,,,20.0,183.0,,78.0,,11.0,6.0,17.0,,,12.0,78.0,16.0,27.0,
35011620010005,482,41.3,6104.0,176.3,138,,70.0,5.0,53.0,,,,,,,,,,10.0,46.0,78.0,,,,,46,,,,,,5.0,6.0,,10.0,,,,,,,,,5.0,8.0,,,,5.0,,,57.0,13.0,,31.0,85.0,,,,21.0,11.0,11.0,301.0,8.0,19.0,
35011620010006,327,40.7,2374.3,125.0,40,,,14.0,8.0,,,,,,,,,,,23.0,,,17.0,23.0,,293,,,,,,6.0,38.0,,169.0,,5.0,,6.0,,,7.0,13.0,13.0,25.0,,,8.0,16.0,,,306.0,133.0,,592.0,38.0,50.0,5.0,54.0,30.0,35.0,15.0,170.0,22.0,94.0,
35011620010007,556,37.1,9693.0,100.0,178,10.0,,21.0,80.0,24.0,,,,,33.0,,,,95.0,40.0,30.0,11.0,,,,43,,,,,,,14.0,,11.0,,,,,,,,,,11.0,,,,,,,,43.0,5.0,36.0,,5.0,,,,,,1354.0,,31.0,
35011620010008,655,45.0,11203.7,188.2,158,13.0,22.0,106.0,14.0,,,,,,,,,,46.0,110.0,,,,,,58,,,,,,,16.0,,6.0,,,,,,,14.0,,,13.0,,,,6.0,,,,35.0,,12.0,,,,,,,92.0,14.0,,16.0,
35011620010009,482,30.3,1134.5,440.0,69,30.0,,20.0,,,,,9.0,,,,,,21.0,46.0,,,,5.0,,51,,,,,,,10.0,,9.0,,,,,,,8.0,5.0,,5.0,,,,,,,,32.0,,24.0,,9.0,,21.0,11.0,,436.0,223.0,,17.0,
35011620010010,608,40.0,26181.7,93.8,221,,,112.0,5.0,54.0,,,49.0,,,,,,,6.0,215.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,11.0,,,,,,,,
35011620010101,730,44.5,36333.3,178.8,244,,,244.0,,,,,,,,,,,,,244.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,11.0,,,,,16.0,,,
35011620010201,463,40.7,37477.6,91.1,163,,,,,,,163.0,,,,,,,,,163.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35011620010202,459,42.0,36645.0,97.7,154,,,,,,,154.0,,,,,,,,,154.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620010203,510,41.5,34187.8,106.1,178,,,,,,,178.0,,,,,,,,,178.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620010301,722,43.1,34132.9,163.2,256,,,256.0,,,,,,,,,,,,,256.0,,,,,19,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,12.0,,,,,6.0,,,
35011620010401,456,38.8,59637.1,74.6,153,,,153.0,,,,,,,,,,,,,153.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010402,520,42.4,39252.9,156.8,171,,,171.0,,,,,,,,,,,,,171.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35011620010601,671,39.8,70272.4,79.3,252,,,252.0,,,,,,,,,,,,,252.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,
35011620010701,517,43.1,55768.7,143.1,171,,,171.0,,,,,,,,,,,,,171.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010901,355,42.7,37922.1,152.6,143,,143.0,,,,,,,,,,,,,,142.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011001,408,32.1,42831.6,17.3,128,,,,,,,,,,,128.0,,,,,128.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,7.0,,,,,9.0,,,
35011620011002,621,37.0,56363.0,51.3,208,,,,,,,,,,,207.0,,,,,207.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011201,516,42.3,50526.8,117.1,184,,,184.0,,,,,,,,,,,,,184.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620011202,572,43.7,37071.2,175.9,219,,,219.0,,,,,,,,,,,,,219.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,6.0,,,,,14.0,,,,,,,,
35011620011301,453,33.4,40269.2,28.7,148,,,,,148.0,,,,,,,,,,,148.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011401,483,40.2,41023.9,100.0,167,,,167.0,,,,,,,,,,,,,167.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,23.0,,,,5.0,,,,
35011620011402,388,44.1,58701.6,184.6,131,,,131.0,,,,,,,,,,,,,131.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620011501,436,43.1,37020.5,142.1,151,,,151.0,,,,,,,,,,,,,151.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35011620011801,513,39.5,58025.0,83.5,208,,,208.0,,,,,,,,,,,,,208.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011901,649,42.2,54449.7,146.0,240,,,240.0,,,,,,,,,,,,,240.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011630010001,257,36.1,941.9,34.1,86,,,,,,,,19.0,9.0,7.0,19.0,28.0,,,38.0,,40.0,,,,43,,,,,,,19.0,,,,,,,,,,,,,,,,,,,80.0,97.0,,18.0,,,7.0,27.0,,,6.0,11.0,18.0,7.0,
35011630010002,430,37.8,3659.8,97.7,76,12.0,,34.0,5.0,7.0,,,,,8.0,,,,8.0,43.0,,,25.0,8.0,,169,,,7.0,,,7.0,30.0,,50.0,,5.0,,11.0,,,11.0,5.0,,32.0,,,,18.0,,,131.0,90.0,,141.0,5.0,73.0,5.0,24.0,14.0,,169.0,72.0,8.0,61.0,
35011630010101,610,38.3,103145.6,71.1,211,,,211.0,,,,,,,,,,,,,211.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011630010201,700,36.7,108491.9,41.1,258,,,258.0,,,,,,,,,,,,,258.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630010202,459,37.9,77737.5,53.6,171,,,171.0,,,,,,,,,,,,,171.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630010203,553,39.5,49927.0,73.5,180,,,180.0,,,,,,,,,,,,,180.0,,,,,33,,,,,,,,,,,,,,,,6.0,,,11.0,,,,,,,,7.0,,5.0,,,11.0,,,,7.0,15.0,,17.0,
35011630020001,518,36.6,10743.4,72.3,62,,,32.0,7.0,10.0,,5.0,,,,,,,,54.0,,,8.0,5.0,,136,,,12.0,,,9.0,36.0,,23.0,,,6.0,8.0,,,,7.0,,21.0,,,,28.0,,,98.0,117.0,,49.0,9.0,,10.0,29.0,6.0,,13.0,63.0,6.0,47.0,
35011630020002,471,35.3,16580.1,44.1,83,,,37.0,26.0,12.0,,,,,,,,,23.0,46.0,,10.0,,,,60,,,,,,10.0,25.0,,9.0,,,,7.0,,,,,,,,,,10.0,,,127.0,65.0,83.0,17.0,,,,39.0,,,,,,17.0,
35011630020003,419,35.9,11171.8,41.3,51,,,18.0,9.0,11.0,,,,,,,,,,43.0,,,8.0,5.0,,94,,,7.0,,,16.0,19.0,,10.0,,,,9.0,,,,,8.0,16.0,,,,20.0,,,103.0,42.0,15.0,31.0,12.0,,,23.0,,,,22.0,12.0,23.0,
35011630020004,529,36.1,12432.8,40.0,101,,,31.0,41.0,22.0,,,,,,,,,29.0,43.0,,22.0,7.0,6.0,,58,,,,,,6.0,12.0,,7.0,,,,,,,6.0,,,18.0,,,,,19.0,,73.0,25.0,,18.0,,,5.0,,,,118.0,,,34.0,
