,code,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_ar_001,ho_ar_002,ho_ar_003,ho_ar_004,ho_ar_005,ho_ar_006,ho_ar_007,ho_ar_008,ho_ar_009,ho_ar_999,1970s,1980s,1990s,2000-2004,2005-2009,2010-2014,2015-2020,no_yr_data,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999,do_index,si_index,dong_index,fire_count
0,35011600010001,597,42.8,10347.1,143.0,169,0.0,0.0,5.0,51.0,36.0,25.0,33.0,12.0,0.0,0.0,95.0,27.0,15.0,5.0,0.0,0.0,0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,8.0,0.0,35,11,600,
1,35011600010002,884,42.9,3981.5,211.8,230,0.0,7.0,19.0,66.0,37.0,29.0,44.0,18.0,9.0,0.0,116.0,26.0,17.0,0.0,9.0,0.0,0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,80.0,0.0,0.0,0.0,5.0,47.0,16.0,0.0,9.0,97.0,24.0,0.0,35,11,600,
2,35011600010003,889,28.6,6742.7,276.5,82,0.0,0.0,8.0,26.0,6.0,11.0,8.0,13.0,9.0,0.0,42.0,0.0,0.0,15.0,23.0,0.0,0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,5.0,0.0,16.0,0.0,35,11,600,
3,35011600020001,556,43.6,721.5,132.1,174,0.0,6.0,32.0,82.0,22.0,11.0,12.0,8.0,0.0,0.0,26.0,32.0,81.0,5.0,0.0,0.0,0,0.0,0.0,101.0,70.0,0.0,0.0,0.0,0.0,54,0.0,0.0,9.0,0.0,0.0,7.0,19.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,49.0,0.0,0.0,45.0,54.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,16.0,0.0,35,11,600,
4,35011600020002,550,45.7,136.9,208.8,217,0.0,6.0,85.0,46.0,39.0,15.0,14.0,5.0,7.0,0.0,39.0,30.0,96.0,10.0,0.0,5.0,0,0.0,0.0,119.0,70.0,27.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,41.0,7.0,0.0,35,11,600,
5,35011600020003,445,54.5,117.3,485.7,138,0.0,10.0,26.0,42.0,31.0,11.0,18.0,0.0,0.0,0.0,44.0,14.0,33.0,10.0,12.0,0.0,0,0.0,10.0,127.0,0.0,0.0,0.0,6.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,17.0,0.0,0.0,32.0,35.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,17.0,89.0,0.0,9.0,0.0,35,11,600,
6,35011600020004,704,43.7,5274.2,171.3,227,0.0,8.0,22.0,111.0,42.0,20.0,17.0,6.0,0.0,0.0,66.0,30.0,74.0,0.0,0.0,0.0,0,0.0,0.0,171.0,24.0,26.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,12.0,0.0,0.0,25.0,0.0,35,11,600,1.0
7,35011600020005,666,43.3,1460.1,157.6,241,0.0,8.0,127.0,44.0,19.0,30.0,11.0,0.0,0.0,0.0,37.0,24.0,107.0,23.0,0.0,0.0,0,0.0,0.0,106.0,109.0,24.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,0.0,5.0,0.0,35,11,600,
8,35011600020101,784,39.7,81776.2,73.2,251,0.0,0.0,0.0,235.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
9,35011600020102,587,42.6,62517.4,164.9,178,0.0,0.0,0.0,30.0,0.0,30.0,89.0,29.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
10,35011600020301,872,36.6,83820.3,60.1,277,0.0,0.0,167.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,1.0
11,35011600020401,592,36.3,37411.7,53.8,205,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
12,35011600020801,441,38.4,65406.5,59.3,159,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,11,600,
13,35011600030001,462,52.6,78.2,508.0,137,0.0,10.0,41.0,31.0,39.0,7.0,5.0,0.0,0.0,0.0,49.0,23.0,29.0,11.0,9.0,5.0,0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,6.0,0.0,35,11,600,
14,35011610010001,738,39.0,14879.2,232.7,153,0.0,0.0,19.0,43.0,15.0,24.0,20.0,11.0,17.0,0.0,74.0,14.0,7.0,20.0,53.0,0.0,0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,35,11,610,1.0
