,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bnu_999,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,597,42.8,10347.1,143.0,169,5.0,20.0,68.0,47.0,10.0,8.0,5.0,,,,,,,,,165.0,,,,,,24,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,23.0,,,,,,,,17.0,,14.0,,6.0,
35011600010002,884,42.9,3981.5,211.8,230,27.0,36.0,76.0,41.0,23.0,11.0,9.0,,,,,,,,,229.0,,,,,,93,,,,,,,26.0,,32.0,,,,,,,,,,18.0,,,,,,,,52.0,,65.0,5.0,,,,44.0,13.0,,11.0,6.0,28.0,
35011600010003,889,28.6,6742.7,276.5,82,8.0,9.0,22.0,10.0,6.0,,10.0,,,6.0,,,,,,82.0,,,,,,30,,,,,,,6.0,,5.0,,,,,,,,,,6.0,,,,,,,12.0,13.0,,12.0,5.0,,,,,,151.0,189.0,,17.0,
35011600020001,556,43.6,721.5,132.1,174,11.0,5.0,25.0,28.0,88.0,6.0,9.0,,,,,,,,,101.0,70.0,,,,,51,,,8.0,,,8.0,18.0,,5.0,,,,,,,,,,,,,,49.0,,,58.0,56.0,13.0,13.0,,,,,,45.0,,,,,
35011600020002,550,45.7,136.9,208.8,217,13.0,16.0,20.0,24.0,43.0,78.0,18.0,,,,,,,,,119.0,70.0,27.0,,,,22,,,,,,,,,,,,,,,,,,,8.0,,,,,8.0,,,12.0,,7.0,,,,,,,,19.0,43.0,10.0,
35011600020003,445,54.5,117.3,485.7,138,26.0,11.0,17.0,15.0,16.0,19.0,10.0,,,10.0,,,,,10.0,127.0,,,,6.0,,35,,,5.0,,,,11.0,,,,,,,,,,6.0,,6.0,,,,21.0,,,19.0,26.0,,,,,,22.0,,,26.0,73.0,,9.0,
35011600020004,704,43.7,5274.2,171.3,227,20.0,23.0,40.0,34.0,51.0,45.0,7.0,,,,,,,,,171.0,24.0,26.0,,,,46,,,,,,,13.0,,,,,,,,,7.0,,,15.0,,,,6.0,,,,25.0,,5.0,,,18.0,,,,13.0,,,17.0,
35011600020005,666,43.3,1460.1,157.6,241,,12.0,18.0,25.0,144.0,6.0,27.0,,,,,,,,,106.0,109.0,24.0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,19.0,,5.0,
35011600020101,784,39.7,81776.2,73.2,251,,,,,251.0,,,,,,,,,,,,251.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35011600020102,587,42.6,62517.4,164.9,178,,,,,178.0,,,,,,,,,,,,178.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35011600020301,872,36.6,83820.3,60.1,277,,,,,277.0,,,,,,,,,,,,277.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011600020401,592,36.3,37411.7,53.8,205,,,,,204.0,,,,,,,,,,,,204.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020801,441,38.4,65406.5,59.3,159,,,,,159.0,,,,,,,,,,,,159.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011600030001,462,52.6,78.2,508.0,137,8.0,25.0,30.0,21.0,18.0,10.0,8.0,5.0,,,,5.0,,,,137.0,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,,,,,,,32.0,,7.0,
35011610010001,738,39.0,14879.2,232.7,153,5.0,14.0,47.0,23.0,8.0,10.0,14.0,6.0,7.0,11.0,7.0,,,,,152.0,,,,,,32,,,7.0,,,,7.0,,,,,,,,,,,,10.0,,,,33.0,,,,17.0,,6.0,,,,,,,,18.0,,12.0,
35011610010002,643,42.6,545.8,162.9,214,,7.0,27.0,37.0,108.0,13.0,14.0,,,,,,,,,107.0,97.0,9.0,,,,47,,,,,,,11.0,,5.0,,,5.0,,,,,,,13.0,,,,27.0,,,,20.0,,7.0,,,8.0,,,,,30.0,8.0,18.0,
35011610010003,750,41.9,12134.1,106.0,242,5.0,15.0,50.0,132.0,13.0,6.0,,,,,,8.0,,,,144.0,80.0,15.0,,,,51,,,5.0,,,7.0,16.0,,6.0,,,,,,,,,,11.0,,,,10.0,,,98.0,29.0,,12.0,,,,,,,,6.0,6.0,15.0,
35011610010004,758,44.1,4981.5,178.2,216,27.0,29.0,57.0,43.0,14.0,25.0,10.0,,,,,,,,,215.0,,,,,,40,,,7.0,,,,14.0,,5.0,,,,,,,,,,8.0,,,,11.0,,,,19.0,,7.0,,,,,,,65.0,17.0,,8.0,
35011610010005,550,44.3,10858.8,168.7,162,19.0,20.0,25.0,32.0,18.0,14.0,14.0,8.0,5.0,,,,,,,160.0,,,,,,49,,,6.0,,,,13.0,,6.0,,,,,,,,,,14.0,,,,8.0,,,,24.0,,10.0,,,,,,9.0,,9.0,,18.0,
35011610010006,174,43.7,153.1,157.1,59,,8.0,14.0,13.0,11.0,,,,,,,,,,,58.0,,,,,,24,,,,,,,9.0,,5.0,,,,,,,,,,,,,,,,,,19.0,,9.0,,,,,,,,17.0,,,
35011610010007,673,43.0,10478.1,144.3,257,,11.0,21.0,202.0,,9.0,5.0,,,,,,,,,73.0,183.0,,,,,43,,,,,,,11.0,,6.0,,,,,,,,,,9.0,,,,8.0,,,,20.0,9.0,10.0,6.0,,,,,,,30.0,,11.0,
35011610010008,822,34.2,61818.3,37.8,406,,,,,20.0,244.0,142.0,,,,,,,,,,405.0,,,,,17,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,7.0,,,9.0,,,,,,,,
35011610010009,623,42.5,7483.8,141.9,203,5.0,22.0,26.0,136.0,,,,,,,,,,,,79.0,93.0,29.0,,,,32,,,,,,,11.0,,,,,,,,,,,,7.0,,,,9.0,,,,18.0,,12.0,,,,,,,68.0,48.0,,12.0,
35011610010010,791,42.0,8685.3,138.7,293,,6.0,6.0,274.0,6.0,,,,,,,,,,,42.0,197.0,54.0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,568,37.5,43305.7,56.0,196,,,,,195.0,,,,,,,,,,,,194.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010012,918,44.6,21753.3,231.2,336,,,152.0,143.0,13.0,8.0,9.0,,,,,,,,,109.0,227.0,,,,,17,,,,,,,5.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,
35011610010501,719,36.5,49081.8,51.5,260,,,,132.0,128.0,,,,,,,,,,,,259.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011610010601,735,34.0,90630.8,28.2,221,,,,,,221.0,,,,,,,,,,,221.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35011610010901,539,37.0,99403.9,55.6,192,,,,,192.0,,,,,,,,,,,,192.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
35011610011001,696,35.2,42468.5,29.5,231,,,,,,,231.0,,,,,,,,,,231.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011610011002,549,36.1,34512.3,34.9,192,,,,,,,192.0,,,,,,,,,,192.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011610011101,679,39.2,74863.3,89.8,242,,,,,242.0,,,,,,,,,,,,242.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010001,257,42.0,5954.3,131.0,57,,,,18.0,28.0,5.0,,,,,,,,,,54.0,,,,,,71,,,,,,,18.0,,14.0,,,,,,,5.0,,,15.0,,,,31.0,,,6.0,31.0,,24.0,,14.0,,5.0,,,10.0,122.0,5.0,20.0,
35011620010002,609,39.2,8283.2,98.8,203,,,35.0,7.0,143.0,,,,,13.0,,,,,13.0,53.0,135.0,,,,,16,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,17.0,6.0,,20.0,
35011620010003,981,37.8,11880.3,63.8,182,,,59.0,41.0,65.0,11.0,5.0,,,,,,,,,145.0,,34.0,,,,81,,,5.0,,,6.0,17.0,,12.0,,,,,,,,,,29.0,,,,9.0,,,11.0,38.0,,27.0,,,,16.0,,,89.0,24.0,,39.0,
35011620010004,367,40.1,4417.3,116.0,83,,5.0,15.0,35.0,8.0,10.0,7.0,,,,,,,,,54.0,,24.0,5.0,,,101,,,,,,,40.0,,18.0,,,,,,,,7.0,7.0,18.0,,,,,,,5.0,123.0,,83.0,,9.0,5.0,,,,,37.0,14.0,45.0,
35011620010005,496,37.0,6281.3,72.3,128,,,5.0,67.0,,,50.0,,,,,,,,,43.0,81.0,,,,,53,,,,,,6.0,9.0,,12.0,,,,,,,,,6.0,7.0,,,,,,,42.0,31.0,,36.0,83.0,,,,16.0,11.0,14.0,260.0,10.0,22.0,
35011620010006,229,58.1,1662.7,972.7,27,,,,,8.0,8.0,6.0,,,,,,,,,18.0,,,9.0,6.0,,280,,,,,,,43.0,,163.0,,,,6.0,,,9.0,12.0,12.0,21.0,,,,10.0,,,400.0,144.0,,869.0,,37.0,,33.0,,39.0,37.0,156.0,20.0,79.0,
35011620010007,522,33.3,9100.3,62.3,70,5.0,5.0,6.0,7.0,16.0,,19.0,,,,,,,,,54.0,,12.0,,,,39,,,,,,,12.0,,8.0,,,,,,,,,,11.0,,,,,,,8.0,33.0,,38.0,,5.0,,,,,,1151.0,8.0,45.0,
35011620010008,778,37.9,13307.7,67.5,143,,,10.0,15.0,109.0,,,,,,,,,,28.0,106.0,,6.0,,,,53,,,,,,,16.0,,,,,,,,,12.0,,,12.0,,,,,,,,21.0,,8.0,,,,,,,96.0,65.0,,12.0,
35011620010009,574,37.6,1351.0,287.2,72,,,8.0,11.0,11.0,27.0,6.0,,,,,,,,22.0,43.0,,5.0,,,,41,,,,,,,6.0,,8.0,,,,,,,6.0,6.0,,6.0,,,,,,,,10.0,,19.0,,22.0,,22.0,,,344.0,263.0,,10.0,
35011620010010,616,36.2,26526.2,51.2,178,,,,,,114.0,5.0,59.0,,,,,,,,5.0,173.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,5.0,,,
35011620010101,857,43.5,42654.3,169.2,259,,,,,259.0,,,,,,,,,,,,259.0,,,,,13,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,9.0,9.0,7.0,,,20.0,11.0,,,
35011620010201,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35011620010202,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010203,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620010301,845,40.8,39947.8,97.2,263,,,,,263.0,,,,,,,,,,,,263.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,11.0,10.0,,5.0,,5.0,7.0,,,
35011620010401,534,35.3,69838.2,30.4,163,,,,,,163.0,,,,,,,,,,,163.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010402,611,37.9,46122.2,60.3,179,,,,,,179.0,,,,,,,,,,,179.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35011620010601,785,35.9,82211.4,43.5,267,,,,,267.0,,,,,,,,,,,,267.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010701,594,40.6,64074.7,81.2,179,,,,,179.0,,,,,,,,,,,,179.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010901,430,40.1,45933.8,100.0,156,,,,156.0,,,,,,,,,,,,,156.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011001,81,32.6,8503.3,14.3,10,,,,,,,,,,,,,,,,10.0,,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620011002,91,44.7,8259.3,171.4,30,,,10.0,12.0,,,,,,,,,,,,29.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011201,570,39.4,55814.5,79.3,198,,,,,,198.0,,,,,,,,,,,198.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620011202,691,39.0,44783.6,85.4,238,,,,,,238.0,,,,,,,,,,,238.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
35011620011301,442,31.2,39291.3,16.7,151,,,,,,,,,,,150.0,,,,,,150.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011401,585,34.9,49687.3,32.5,181,,,,,69.0,112.0,,,,,,,,,,,181.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35011620011402,448,40.0,67779.2,77.9,136,,,,,,136.0,,,,,,,,,,,136.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011620011501,471,39.5,39992.3,80.2,160,,,,,,160.0,,,,,,,,,,,160.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35011620011801,615,34.8,69562.1,40.9,224,,,,,224.0,,,,,,,,,,,,224.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011901,749,37.6,62839.5,70.6,252,,,,,,252.0,,,,,,,,,,,252.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011630010001,49,27.5,179.6,28.6,7,,,,,,,,,,,,,,,,7.0,,,,,,31,,,,,,,12.0,,6.0,,,,,,,,,,,,,,,,,,119.0,,100.0,,19.0,13.0,7.0,,,,,24.0,14.0,
35011630010002,393,36.5,3344.9,66.7,65,,,,,15.0,21.0,8.0,,,,,,,,,49.0,,,16.0,,,170,,,6.0,,,,30.0,,51.0,,5.0,7.0,11.0,,,14.0,5.0,,29.0,,,,19.0,,,11.0,95.0,,171.0,6.0,60.0,9.0,33.0,40.0,,211.0,73.0,7.0,64.0,
35011630010101,681,36.1,115151.0,43.6,218,,,,,218.0,,,,,,,,,,,,218.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011630010201,808,33.2,125230.6,26.2,273,,,,,,273.0,,,,,,,,,,,273.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630010202,568,34.5,96198.0,29.3,182,,,,,,182.0,,,,,,,,,,,182.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630010203,649,37.8,58594.3,68.4,190,,,,,,190.0,,,,,,,,,,,189.0,,,,,33,,,,,,,,,5.0,,,,,,,6.0,,,12.0,,,,5.0,,,,,,10.0,,,13.0,,,,6.0,11.0,,16.0,
35011630020001,443,34.9,9187.9,36.0,54,,,,,,28.0,9.0,,,,,,,,,40.0,,,14.0,,,113,,,6.0,,,6.0,29.0,,27.0,,,,10.0,,,,,,17.0,,,,22.0,15.0,,78.0,113.0,,59.0,5.0,13.0,,32.0,16.0,,5.0,54.0,8.0,39.0,
35011630020002,506,31.9,17812.1,23.9,46,,,,,,18.0,13.0,,,,,,,,,45.0,,,,,,48,,,,,,7.0,19.0,,10.0,,,,,,,,,,,,,,10.0,,,84.0,67.0,,18.0,,,,9.0,,,,,,5.0,
35011630020003,275,35.1,7332.3,37.2,40,,,,,,20.0,11.0,,,,,,,,,37.0,,,,,,86,,,,,,13.0,17.0,,10.0,,,,8.0,,,,,8.0,15.0,,,,6.0,,,133.0,58.0,17.0,20.0,17.0,9.0,,16.0,,,,21.0,15.0,19.0,
35011630020004,515,33.8,12103.8,26.5,49,,,,,,7.0,18.0,9.0,6.0,,5.0,,,,,46.0,,,,,,56,,,,,,6.0,13.0,,7.0,,,5.0,,,,5.0,,,13.0,,,,,,,35.0,49.0,,11.0,,,7.0,,24.0,,88.0,,,20.0,
35011630020005,370,39.0,7614.1,94.7,71,14.0,,5.0,,9.0,20.0,11.0,,,,,,,,10.0,55.0,,,6.0,,,65,,,,,,10.0,18.0,,12.0,,,,,,,,,,14.0,,,,,,,62.0,48.0,,41.0,,,13.0,,,,27.0,11.0,,26.0,
35011630020006,436,32.7,9719.1,22.6,37,,,,,,10.0,9.0,,,,,,,,,34.0,,,,,,92,,,,,,6.0,27.0,5.0,16.0,,,,,,,,,6.0,12.0,,,,8.0,,,130.0,128.0,24.0,53.0,,,10.0,26.0,73.0,,,10.0,14.0,23.0,
35011630020007,489,36.1,6418.4,41.7,159,,,,,,70.0,11.0,,,,,65.0,,,,21.0,131.0,,7.0,,,131,,,,,,5.0,17.0,,59.0,,,,,,,7.0,,12.0,16.0,,,,7.0,,,81.0,107.0,,192.0,,24.0,,14.0,,,30.0,43.0,30.0,77.0,
35011630020008,543,35.3,11341.7,43.4,62,,,,,6.0,24.0,18.0,,,7.0,,,,,,44.0,,8.0,6.0,,,110,,,,,,6.0,23.0,,21.0,,,6.0,14.0,,,9.0,5.0,,16.0,,,,18.0,,,34.0,68.0,,65.0,,,13.0,76.0,9.0,,38.0,29.0,,36.0,
35011630020009,274,34.3,2499.6,32.6,52,,,,,,,34.0,5.0,,,,,,,,34.0,,,18.0,,,313,,,,,,13.0,48.0,,82.0,,,9.0,5.0,,,93.0,9.0,9.0,32.0,,,,6.0,,,182.0,147.0,,231.0,16.0,42.0,15.0,30.0,30.0,22.0,257.0,82.0,14.0,58.0,
35011630020010,517,36.5,5748.5,55.9,82,6.0,,,,21.0,24.0,22.0,,,,,,,,,66.0,,,16.0,,,168,,,7.0,,,19.0,63.0,,35.0,,,,10.0,6.0,,,,8.0,16.0,,,,34.0,,,131.0,166.0,,98.0,,,,30.0,49.0,,,20.0,8.0,28.0,
35011630020011,240,33.7,8151.5,27.3,34,,,,,,5.0,11.0,,9.0,,,,,,,31.0,,,,,,53,,,,,,,16.0,,8.0,,,,5.0,,,,,,11.0,,,,14.0,,,11.0,50.0,5.0,27.0,,,,40.0,7.0,,5.0,,,20.0,
35011630020012,237,35.6,1584.8,61.5,32,,,,,,11.0,11.0,,,,,,,,,24.0,,,8.0,,,186,,,,,,11.0,49.0,,33.0,,,10.0,7.0,,,24.0,11.0,10.0,18.0,,,,8.0,,,199.0,228.0,17.0,117.0,70.0,9.0,13.0,41.0,26.0,,70.0,157.0,21.0,55.0,
35011630020013,616,37.2,16143.4,70.8,282,,,,115.0,,137.0,,,,,,30.0,,,,,282.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,,22.0,,,12.0,14.0,,,,,,,
35011630020014,523,31.6,14085.7,14.5,50,,,,,6.0,10.0,17.0,,,7.0,,,,,,47.0,,,,,,62,,,5.0,,,10.0,17.0,,8.0,,,,,,,,,,10.0,,,,18.0,,,128.0,65.0,,18.0,,,,8.0,,,,18.0,,12.0,
35011630020015,466,32.1,5846.7,13.2,55,,,,,,10.0,26.0,5.0,,,8.0,,,,5.0,34.0,,,16.0,,,232,,,5.0,,,25.0,39.0,,84.0,,5.0,8.0,12.0,,,14.0,,14.0,20.0,,,,12.0,,9.0,211.0,124.0,,234.0,18.0,50.0,16.0,55.0,,,39.0,11.0,27.0,41.0,
35011630020016,367,34.3,7957.1,33.3,43,,,,,9.0,16.0,8.0,,,,,,,,,36.0,,,7.0,,,83,,,5.0,,,18.0,13.0,,15.0,,,,7.0,,,8.0,,,8.0,,,,9.0,,,240.0,61.0,,41.0,,,,27.0,10.0,,69.0,16.0,,13.0,
35011630020017,432,30.9,8419.6,14.4,46,,,,,8.0,21.0,6.0,,,,,6.0,,,,41.0,,,5.0,,,104,,,,,,8.0,16.0,,30.0,,,,7.0,,,7.0,6.0,12.0,10.0,,,,,,,120.0,95.0,,107.0,,23.0,289.0,42.0,13.0,,135.0,62.0,22.0,21.0,
35011630020201,778,35.2,32502.9,31.2,224,,,,,,,,224.0,,,,,,,,,224.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020301,569,32.7,49741.5,21.5,162,,,,,,,162.0,,,,,,,,,,162.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020302,765,32.0,62828.2,17.8,220,,,,,,,220.0,,,,,,,,,,220.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020303,682,31.7,59167.2,23.7,194,,,,,,,194.0,,,,,,,,,,194.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020304,699,30.6,57230.5,14.2,197,,,,,,,197.0,,,,,,,,,,197.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,7.0,,,
35011630020305,755,33.4,61917.7,20.1,213,,,,,,,213.0,,,,,,,,,,213.0,,,,,19,,,,,,,6.0,,,,,,,,,9.0,,,,,,,,,,,10.0,,,,,,,,,9.0,,,,
35011630020401,557,33.5,47655.5,24.3,169,,,,,,,169.0,,,,,,,,,,169.0,,,,,14,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,5.0,,,,,,,7.0,,,,
35011630020402,543,33.1,45150.6,19.1,151,,,,,,,151.0,,,,,,,,,,151.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020403,519,33.0,47680.7,21.4,144,,,,,,,144.0,,,,,,,,,,144.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020404,656,32.0,54113.2,24.3,191,,,,,,,191.0,,,,,,,,,,191.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35011630020405,657,33.5,54012.2,33.3,193,,,,,,,193.0,,,,,,,,,,193.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,10.0,,,
35011630020601,475,30.2,83466.2,6.6,138,,,,,,,138.0,,,,,,,,,,138.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,5.0,,,
35011630020602,594,35.3,66191.0,34.7,181,,,,,,,181.0,,,,,,,,,,181.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,
35011630020801,692,36.8,56395.5,49.2,224,,,,,224.0,,,,,,,,,,,,224.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011630020802,660,38.4,44123.1,65.4,214,,,,,214.0,,,,,,,,,,,,214.0,,,,,11,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,9.0,,,,,,,9.0,
35011640010001,481,44.6,4852.6,160.3,147,,,39.0,58.0,29.0,8.0,8.0,,,,,,,,,112.0,18.0,13.0,,,,105,,,5.0,,,,41.0,,12.0,,,5.0,,,,5.0,7.0,,20.0,,,,6.0,,,7.0,130.0,,19.0,,10.0,6.0,,,,7.0,77.0,7.0,28.0,
35011640010002,630,35.3,18315.5,63.2,256,,,13.0,14.0,6.0,5.0,202.0,,,5.0,,,10.0,,,45.0,198.0,8.0,,,,39,,,,,,,16.0,,,,,,,,,,,,8.0,,,,,,,,56.0,,12.0,,,,,5.0,,,14.0,6.0,18.0,
35011640010003,534,38.3,4060.9,83.8,92,,,14.0,52.0,5.0,,5.0,,,,,,5.0,,,68.0,,24.0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,
35011640020001,395,40.1,8328.2,114.9,139,,,,,76.0,,58.0,,,,,,,,,16.0,122.0,,,,,68,,,,,,,13.0,,14.0,,,,,,,10.0,,,17.0,,,,16.0,,,38.0,22.0,,32.0,,,,7.0,,,74.0,8.0,,21.0,
35011640020002,39,65.4,173.5,0.0,9,,,,,,,,,,,,,,,,8.0,,,,,,16,,,,,,,,,,,,,,,,,,,5.0,,,,6.0,,,,9.0,,,,,9.0,,16.0,,,130.0,,9.0,
35011640020003,620,37.6,9238.1,54.8,195,,,8.0,114.0,,5.0,63.0,,,,,,,,,22.0,62.0,110.0,,,,121,,,,,,,34.0,,20.0,,,5.0,,,,,11.0,5.0,31.0,,,,5.0,,,17.0,88.0,,39.0,,17.0,8.0,8.0,,23.0,20.0,72.0,10.0,48.0,
35011640020004,341,44.4,4596.0,211.4,35,,,,,,,24.0,,,,,,,,,12.0,,16.0,7.0,,,116,,,,,,8.0,20.0,,55.0,,,,,,,,5.0,7.0,11.0,,,,6.0,,,54.0,51.0,15.0,152.0,,,,9.0,,,5.0,98.0,14.0,23.0,
35011640020005,38,65.0,165.1,600.0,2,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,5.0,,,,,,,19.0,19.0,15.0,,,,,,,,124.0,118.0,,21.0,
35011640020006,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011640020101,802,34.1,88194.5,38.9,277,,,,,,,,,277.0,,,,,,,,277.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011640020102,630,32.6,68030.6,27.0,214,,,,,,,,,214.0,,,,,,,,214.0,,,,,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
35011640020201,448,43.7,59145.0,133.3,156,,,,,156.0,,,,,,,,,,,,156.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011640020401,565,36.3,75334.5,47.5,194,,,,,,194.0,,,,,,,,,,,194.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
