,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011610010007,429,51.6,6679.2,394.3,197,26.0,156.0,9.0,,,,,,,,,,,,,,,45.0,150.0,,,,,40,,,,,,,12.0,,7.0,,,,,,,,,,10.0,,,,,,,26.0,,11.0,5.0,,,,,,,7.0,,11.0,
35011610010008,551,49.8,41437.8,340.5,359,,,233.0,125.0,,,,,,,,,,,,,19.0,,338.0,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,7.0,,,10.0,,,,,,,,
35011610010009,461,51.3,5537.8,558.3,194,52.0,124.0,,,13.0,,,,,,,,,,,,11.0,65.0,88.0,28.0,,,,43,,,,,,,13.0,,5.0,,,,,,,6.0,5.0,,5.0,,,15.0,,,8.0,18.0,,10.0,,,,,18.0,,91.0,277.0,,5.0,
35011610010010,626,47.5,6873.6,352.3,265,15.0,248.0,,,,,,,,,,,,,,,,32.0,180.0,52.0,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,433,45.3,33013.0,189.8,189,,,187.0,,,,,,,,,,,,,,,,187.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
35011610010012,614,52.1,14549.6,625.8,275,141.0,113.0,10.0,,,,,,,,,,,,,,,85.0,188.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,6.0,,,
35011610010501,507,47.1,34609.8,256.8,226,,111.0,115.0,,,,,,,,,,,,,,,,226.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
35011610010601,545,41.6,67202.4,117.6,203,,,203.0,,,,,,,,,,,,,,,,203.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,7.0,,,,,,,5.0,
35011610010901,395,46.5,72847.0,195.5,174,,,174.0,,,,,,,,,,,,,,,,174.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
35011610011001,553,42.9,33743.0,127.6,222,,,,222.0,,,,,,,,,,,,,,,222.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011610011002,446,44.6,28037.3,187.5,185,,,,185.0,,,,,,,,,,,,,,,185.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610011101,492,49.1,54245.6,508.0,218,,,218.0,,,,,,,,,,,,,,,,218.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010001,390,63.9,9035.7,1009.1,56,,18.0,35.0,,,,,,,,,,,,,,,53.0,,,,,,76,,,,,,6.0,18.0,,16.0,,,5.0,,,,7.0,,,12.0,,,18.0,,,33.0,46.0,,46.0,,19.0,5.0,14.0,11.0,,26.0,170.0,,17.0,
35011620010002,624,42.9,8487.2,185.2,250,32.0,5.0,125.0,8.0,13.0,,,15.0,44.0,,,,,,,,64.0,46.0,123.0,15.0,,,,22,,,,,,,8.0,,,,,,,,,,,,,,,,,,25.0,24.0,,5.0,,,,,,,,28.0,,,
35011620010003,542,43.9,6563.8,188.5,107,,32.0,68.0,5.0,,,,,,,,,,,,,,98.0,,,,,,66,,,,,,7.0,17.0,,11.0,,,,,,,,7.0,,17.0,,,6.0,,,48.0,32.0,,22.0,5.0,,,,,,84.0,92.0,,23.0,
35011620010004,450,40.8,5416.3,308.7,118,11.0,23.0,11.0,38.0,,,,13.0,,,5.0,6.0,,,,,46.0,53.0,,12.0,7.0,10.0,,107,,,,,,,35.0,,18.0,,,,,,,6.0,12.0,7.0,18.0,,,,,,,159.0,,64.0,,12.0,,14.0,,,16.0,82.0,21.0,49.0,
35011620010005,516,42.6,6534.6,275.0,149,5.0,66.0,5.0,60.0,,,,,,,,,,,,,18.0,53.0,75.0,,,,,53,,,,,,7.0,8.0,,12.0,,,,,,,,,,9.0,,,,,,42.0,29.0,,42.0,77.0,,12.0,6.0,24.0,18.0,10.0,363.0,7.0,25.0,
35011620010006,363,50.1,2635.6,640.0,42,,,14.0,8.0,,,,,,,,,,,,,,23.0,,,19.0,23.0,,302,,,5.0,,,6.0,48.0,,163.0,,,,6.0,,,8.0,14.0,16.0,25.0,,,38.0,,,250.0,139.0,,643.0,23.0,31.0,9.0,44.0,,39.0,42.0,226.0,35.0,71.0,
35011620010007,511,38.7,8908.5,122.4,184,9.0,,21.0,82.0,27.0,,,,,34.0,,,,,,,99.0,39.0,31.0,12.0,,5.0,,49,,,,,,,17.0,,15.0,,,,,,,,,,9.0,,,,,,,59.0,13.0,46.0,,5.0,,,,,,1411.0,,37.0,
35011620010008,630,45.8,10776.1,172.0,154,13.0,22.0,103.0,13.0,,,,,,,,,,,,,46.0,106.0,,,,,,67,,,5.0,,,,18.0,,6.0,,,,,,,13.0,,,16.0,,,9.0,,,17.0,27.0,,13.0,,,,5.0,20.0,,107.0,40.0,,19.0,
35011620010009,594,29.3,1398.1,150.0,72,15.0,,17.0,,,,,9.0,,,,,20.0,,,,28.0,42.0,,,,5.0,,53,,,,,,,7.0,,12.0,,,,6.0,,,7.0,,,6.0,,,,,,,36.0,,31.0,,,,37.0,,,303.0,215.0,,12.0,
35011620010010,603,41.9,25966.4,142.4,222,,,112.0,5.0,55.0,,,49.0,,,,,,,,,,6.0,216.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,9.0,,,,,,,5.0,
35011620010101,655,46.7,32600.4,230.9,237,,,237.0,,,,,,,,,,,,,,,,237.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,,,,,7.0,,,
35011620010201,424,44.0,34320.7,156.8,164,,,,,,,164.0,,,,,,,,,,,,164.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35011620010202,441,42.7,35207.9,122.5,155,,,,,,,155.0,,,,,,,,,,,,155.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011620010203,495,42.2,33182.3,92.3,179,,,,,,,179.0,,,,,,,,,,,,179.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010301,652,46.8,30823.6,236.1,247,,,247.0,,,,,,,,,,,,,,,,247.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,12.0,,,,,5.0,,,
35011620010401,426,42.1,55713.6,139.5,155,,,155.0,,,,,,,,,,,,,,,,155.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010402,487,45.0,36761.9,168.4,173,,,173.0,,,,,,,,,,,,,,,,173.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35011620010601,609,42.5,63779.3,130.8,248,,,248.0,,,,,,,,,,,,,,,,248.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010701,484,43.8,52209.0,144.4,174,,,174.0,,,,,,,,,,,,,,,,174.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011620010901,372,44.7,39738.1,173.2,153,,153.0,,,,,,,,,,,,,,,,,152.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011001,410,34.6,43041.6,33.3,128,,,,,,,,,,,128.0,,,,,,,,128.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,7.0,,,
35011620011002,615,37.1,55818.4,44.2,209,,,,,,,,,,,208.0,,,,,,,,208.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
35011620011201,483,45.0,47295.4,164.5,179,,,179.0,,,,,,,,,,,,,,,,179.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011620011202,512,47.6,33182.6,253.3,210,,,210.0,,,,,,,,,,,,,,,,210.0,,,,,16,,,,,,,5.0,,,,,,,,,,,,,,,,,,43.0,6.0,,,,,9.0,,,,,,,,
35011620011301,450,34.2,40002.5,26.1,152,,,,,152.0,,,,,,,,,,,,,,152.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011401,462,44.2,39240.2,195.1,169,,,169.0,,,,,,,,,,,,,,,,169.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
35011620011402,368,47.4,55675.8,287.1,133,,,133.0,,,,,,,,,,,,,,,,133.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011620011501,419,44.5,35577.0,144.4,155,,,155.0,,,,,,,,,,,,,,,,155.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35011620011801,461,44.3,52143.3,158.2,204,,,204.0,,,,,,,,,,,,,,,,204.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011620011901,587,43.6,49248.0,159.0,235,,,235.0,,,,,,,,,,,,,,,,235.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011630010001,414,38.5,1517.4,56.9,127,,,,,,,,19.0,9.0,7.0,21.0,28.0,37.0,,,,,46.0,,73.0,,,,71,,,,,,,21.0,,14.0,,,5.0,,,,,7.0,6.0,,,,,,,80.0,109.0,,90.0,,,10.0,36.0,,,8.0,62.0,127.0,8.0,
35011630010002,361,41.4,3072.5,129.0,70,9.0,,33.0,,6.0,,,,,8.0,,,,,,,8.0,39.0,,,23.0,5.0,,183,,,,5.0,,6.0,30.0,,54.0,,,5.0,13.0,,,14.0,8.0,7.0,28.0,,,13.0,10.0,,170.0,75.0,,172.0,,29.0,6.0,29.0,10.0,,185.0,61.0,10.0,51.0,
35011630010101,550,40.3,93000.1,88.9,201,,,201.0,,,,,,,,,,,,,,,,201.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011630010201,657,40.3,101827.4,72.0,257,,,257.0,,,,,,,,,,,,,,,,257.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630010202,445,41.1,75366.4,84.1,176,,,176.0,,,,,,,,,,,,,,,,176.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630010203,506,41.6,45683.7,94.5,179,,,179.0,,,,,,,,,,,,,,,,179.0,,,,,30,,,,,,,,,,,,,,,,,,,10.0,,,,,,,6.0,,,,,12.0,,,,7.0,13.0,,14.0,
35011630020001,470,39.6,9747.9,111.4,62,,,32.0,7.0,10.0,,5.0,,,,,,,,,,,55.0,,,7.0,,,127,,,9.0,,,9.0,35.0,,23.0,,,,9.0,,,,5.0,5.0,19.0,,,20.0,,,84.0,100.0,,50.0,,6.0,,47.0,7.0,,12.0,38.0,9.0,21.0,
35011630020002,486,37.5,17108.1,74.5,85,,,36.0,25.0,11.0,,,,,,,,,,,,22.0,50.0,,9.0,,,,63,,,6.0,,,15.0,26.0,,6.0,,,,,,,,,,,,,15.0,,,145.0,77.0,,12.0,,,,5.0,,,,,,,
35011630020003,427,36.5,11385.1,50.0,56,,,19.0,9.0,11.0,,,,,,,,,,,,,47.0,,,9.0,,,105,,,8.0,,,16.0,22.0,,11.0,,,,10.0,,,,,6.0,18.0,,,22.0,,,113.0,49.0,5.0,35.0,9.0,,,34.0,,,5.0,14.0,11.0,21.0,
35011630020004,491,36.9,11539.7,47.8,99,,,32.0,36.0,21.0,,,,,,,,,,,,23.0,45.0,,24.0,7.0,,,67,,,,,,7.0,12.0,,8.0,,,5.0,,,,8.0,,,18.0,,,7.0,20.0,,85.0,19.0,,15.0,,,10.0,7.0,8.0,,139.0,,,34.0,
35011630020005,444,38.6,9137.0,104.4,90,8.0,,31.0,9.0,,,,20.0,,,,,,,,,28.0,50.0,,,12.0,,,71,,,5.0,,,,21.0,,11.0,,,,,,,,,,16.0,,,14.0,,,41.0,54.0,,26.0,8.0,5.0,6.0,,5.0,,42.0,,,32.0,
35011630020006,488,37.1,10878.2,52.1,133,,,15.0,69.0,39.0,,,,,,,,,,,,68.0,34.0,26.0,,5.0,,,106,,,,,,11.0,33.0,,13.0,,,,5.0,8.0,,6.0,,6.0,14.0,,,16.0,,,135.0,109.0,,42.0,,5.0,,10.0,188.0,,113.0,,12.0,39.0,
35011630020007,413,43.3,5420.8,156.3,161,,,61.0,18.0,68.0,,,,,,,,,,,,6.0,21.0,120.0,,14.0,,,132,,,,,,,16.0,,49.0,,,5.0,,,,,6.0,15.0,19.0,,,,,,26.0,45.0,6.0,166.0,,17.0,14.0,6.0,6.0,,28.0,81.0,32.0,96.0,
35011630020008,613,40.2,12803.8,168.3,95,,,30.0,40.0,10.0,,,,,,,,,,,,37.0,49.0,,,9.0,,,125,,,6.0,,,7.0,27.0,,24.0,,,,18.0,,,8.0,,,16.0,,,22.0,,,83.0,61.0,,83.0,,13.0,8.0,154.0,8.0,,45.0,18.0,5.0,25.0,
35011630020009,387,36.9,3530.4,58.1,79,,,,44.0,12.0,,5.0,,,,,,,,,,9.0,34.0,,,36.0,11.0,,359,,,,,,13.0,69.0,,70.0,,,16.0,7.0,,,113.0,8.0,12.0,36.0,,,8.0,,,218.0,182.0,,206.0,19.0,9.0,21.0,32.0,13.0,14.0,322.0,80.0,22.0,62.0,
35011630020010,523,43.1,5815.2,137.7,96,,,51.0,25.0,,,6.0,,,,,,,,,,15.0,68.0,,,13.0,8.0,,197,,,8.0,,,14.0,70.0,,34.0,,,6.0,16.0,11.0,,,,14.0,19.0,,,37.0,,,57.0,190.0,,89.0,,,18.0,41.0,134.0,,,28.0,22.0,35.0,
35011630020011,414,36.0,14061.4,45.7,65,,,,15.0,26.0,,,,,,,6.0,,,,,15.0,38.0,,8.0,,5.0,,60,,,,,,7.0,24.0,,,,,,,,,,,,12.0,,,9.0,,,285.0,62.0,7.0,13.0,,,,,19.0,,,,,21.0,
35011630020012,376,39.8,2514.2,148.0,77,,,15.0,21.0,26.0,,,6.0,,,,,,,,,25.0,31.0,,12.0,9.0,7.0,,198,,,,,,11.0,61.0,,22.0,5.0,,11.0,15.0,6.0,,13.0,14.0,14.0,19.0,,,7.0,,,102.0,303.0,5.0,98.0,55.0,9.0,15.0,90.0,437.0,,36.0,247.0,26.0,34.0,
35011630020013,530,44.2,13889.6,186.0,240,,105.0,103.0,,30.0,,,,,,,,,,,,,,237.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,12.0,17.0,5.0,,,,,,
35011630020014,474,38.3,12766.0,61.7,59,,,16.0,15.0,14.0,,,,,,,,,,,,,56.0,,,,,,75,,,7.0,,,9.0,14.0,,12.0,,,,6.0,,,,,,15.0,,,19.0,,,328.0,36.0,,23.0,,,,19.0,31.0,,,74.0,,18.0,
35011630020015,476,37.3,5972.2,59.2,83,,,9.0,49.0,12.0,,,,,,,,,,,,20.0,37.0,,,26.0,13.0,,251,,,6.0,,,22.0,44.0,,93.0,,,8.0,13.0,,,19.0,,15.0,26.0,,,18.0,,8.0,242.0,120.0,,285.0,,12.0,13.0,97.0,,,62.0,7.0,23.0,44.0,
35011630020016,467,36.5,10125.2,30.4,84,,,43.0,17.0,8.0,,,6.0,,,,,,,,,14.0,46.0,,15.0,9.0,5.0,,91,,,7.0,,,14.0,16.0,,16.0,,,5.0,12.0,,,6.0,,,9.0,,,12.0,,,65.0,37.0,,43.0,,,10.0,46.0,,,65.0,,,13.0,
35011630020017,458,38.8,8926.4,72.7,91,,,32.0,12.0,38.0,,,,,,,,,,,,42.0,46.0,,,,8.0,,111,,,,,,10.0,24.0,,25.0,,,5.0,13.0,,,,7.0,13.0,7.0,,,11.0,,,71.0,90.0,,71.0,,,23.0,56.0,38.0,,,62.0,27.0,13.0,
35011630020201,622,41.2,25985.6,84.8,222,,,,,222.0,,,,,,,,,,,,,,222.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
35011630020301,522,37.4,45632.8,52.6,160,,,,160.0,,,,,,,,,,,,,,,160.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630020302,642,37.2,52726.4,41.5,211,,,,211.0,,,,,,,,,,,,,,,211.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020303,573,36.5,49710.8,35.0,190,,,,190.0,,,,,,,,,,,,,,,190.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35011630020304,594,34.4,48633.6,25.5,190,,,,190.0,,,,,,,,,,,,,,,190.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,9.0,,,
35011630020305,658,38.1,53962.7,58.2,211,,,,211.0,,,,,,,,,,,,,,,211.0,,,,,18,,,,,,,,,,,,,,,,10.0,,,,,,,,,,6.0,,,,,5.0,,,,18.0,,,,
35011630020401,514,38.3,43976.5,53.5,165,,,,165.0,,,,,,,,,,,,,,,165.0,,,,,15,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,7.0,,,,,,,8.0,,,,
