,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35012590020302,472,43.4,41257.6,153.8,166,,,,,166.0,,,,,,,,,,,,,,166.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012590020303,594,43.8,51066.0,142.0,221,,,,,221.0,,,,,,,,,,,,,,221.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,,
35012590020501,457,41.0,46978.1,127.7,217,,,,,,,,,,,,,,217.0,,,,,217.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012600010001,621,52.8,1307.8,766.7,218,55.0,86.0,63.0,,,,,,,,,,,,,,42.0,129.0,,44.0,,21.0,,169,,,57.0,,,8.0,53.0,9.0,6.0,,,7.0,,7.0,,,,,16.0,,,526.0,,,73.0,339.0,636.0,20.0,,,10.0,5.0,73.0,,,23.0,11.0,69.0,
35012600010002,591,47.7,4131.6,277.6,215,17.0,173.0,13.0,,,,,,,,,,,,,,9.0,69.0,130.0,,7.0,8.0,,115,,,17.0,,,6.0,35.0,,12.0,,,,,,,,,,23.0,,,80.0,,8.0,50.0,85.0,8.0,36.0,5.0,12.0,,,7.0,28.0,,22.0,,215.0,
35012600010003,456,47.4,273.5,208.3,138,64.0,45.0,15.0,,,,,,,,,,,,,,,133.0,,,5.0,35.0,,291,,,100.0,,,17.0,73.0,22.0,10.0,,,8.0,10.0,9.0,,6.0,,,26.0,,,1117.0,18.0,16.0,141.0,257.0,441.0,24.0,14.0,8.0,33.0,67.0,87.0,,39.0,22.0,,422.0,
35012600010004,544,49.8,15938.2,537.9,222,23.0,161.0,,,,,,6.0,28.0,,,,,,,,6.0,47.0,28.0,140.0,,,,14,,,,,,,7.0,,,,,,,,,,,,,,,,,,13.0,21.0,,,,,,,,,,,,,
35012600010005,378,47.0,1613.9,269.7,127,30.0,50.0,17.0,,,,,,27.0,,,,,,,,12.0,52.0,27.0,33.0,,29.0,,54,,,22.0,,,5.0,11.0,,8.0,,,,,,,,,,6.0,,,114.0,,,34.0,54.0,,23.0,,,,,,,,,,22.0,
35012600020001,606,50.3,626.8,485.7,199,75.0,81.0,27.0,5.0,5.0,,,,,,,,,,,,,157.0,,29.0,11.0,13.0,,314,,,79.0,,,17.0,111.0,6.0,26.0,,,,7.0,7.0,,,,,47.0,,,1333.0,,,307.0,651.0,38.0,67.0,8.0,,7.0,66.0,128.0,,,192.0,6.0,341.0,
35012600020002,414,48.6,10327.8,431.8,112,42.0,53.0,12.0,,,,,,,,,,,,,,,109.0,,,,,,33,,,,,,,5.0,,12.0,,,,,,,,,5.0,5.0,,,6.0,,,,13.0,5.0,29.0,,,,,,,,,8.0,11.0,
35012600020003,426,50.7,213.4,543.5,125,56.0,25.0,30.0,7.0,,,,,,,,,,,,,,120.0,,,5.0,38.0,,490,,,188.0,,,17.0,96.0,16.0,28.0,14.0,5.0,,38.0,16.0,,,,,55.0,,,3435.0,64.0,58.0,173.0,425.0,289.0,104.0,83.0,32.0,5.0,516.0,496.0,74.0,36.0,38.0,5.0,341.0,
35012600020004,528,45.8,9848.9,293.9,107,26.0,33.0,25.0,,8.0,,,,,,,,,8.0,,,17.0,89.0,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012600020005,504,50.5,493.2,397.4,181,65.0,58.0,46.0,,,,,,,,,,,,,,36.0,142.0,,,,9.0,,115,,,31.0,,,,45.0,,,,,,,,,,,,26.0,,,190.0,,,56.0,220.0,6.0,8.0,,,,5.0,,315.0,,,,359.0,
35012600020006,442,49.3,11563.4,419.2,197,9.0,50.0,133.0,,,,,,,,,,,,,,56.0,38.0,67.0,31.0,5.0,,,51,,,,,,,12.0,,13.0,,,,,,,,,,13.0,,,10.0,,,,27.0,,31.0,,10.0,,,,,8.0,6.0,,17.0,
35012600020007,622,47.1,8447.1,241.8,233,26.0,100.0,8.0,,95.0,,,,,,,,,,,,8.0,58.0,95.0,70.0,,,,16,,,,,,,8.0,,,,,,,,,,,,,,,13.0,,,,16.0,,,,,5.0,,9.0,,,6.0,,,
35012600020101,615,40.6,65398.4,73.1,310,,,310.0,,,,,,,,,,,,,,,,310.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
35012600020102,707,42.7,50759.2,113.2,262,,,262.0,,,,,,,,,,,,,,,,262.0,,,,,13,,,,,,,,,,,,,,,,,,,6.0,,,,,,,9.0,,,,,11.0,,,,,,,6.0,
35012610010001,815,50.5,797.8,430.0,210,29.0,82.0,75.0,11.0,10.0,,,,,,,,,,,,,193.0,,,17.0,24.0,,167,,,24.0,,,19.0,63.0,5.0,12.0,,,,,6.0,,,,,19.0,,,123.0,107.0,,122.0,221.0,204.0,26.0,92.0,,,26.0,13.0,28.0,16.0,,12.0,36.0,
35012610020001,455,42.5,16478.0,168.9,76,,48.0,20.0,,,,,,,,,,,,,,,73.0,,,,,,20,,,,,,,7.0,,,,,,,,,,,,,,,,,,18.0,8.0,,,,,,,,,,,,7.0,
35012610020002,462,44.4,8145.9,144.4,94,,54.0,26.0,5.0,,,,,,,,,,,,,,76.0,,,18.0,,,111,,,,,,10.0,18.0,,29.0,,,8.0,,,,8.0,,,27.0,,,12.0,,,34.0,25.0,,51.0,,,12.0,,19.0,,53.0,18.0,,30.0,
35012610020003,479,42.4,7153.8,122.4,173,,150.0,19.0,,,,,,,,,,,,,,,18.0,137.0,,18.0,,,103,,,8.0,,,8.0,30.0,11.0,15.0,,,5.0,,,,5.0,5.0,6.0,7.0,,,23.0,,,29.0,83.0,12.0,36.0,,7.0,6.0,,,,46.0,43.0,12.0,9.0,
35012610020004,485,44.2,12668.9,172.3,103,,64.0,22.0,5.0,,,,8.0,,,,,,,,,7.0,95.0,,,,,,27,,,,,,,11.0,,,,,,,,,,,,6.0,,,,,,7.0,24.0,,,5.0,,,,5.0,,,,,9.0,
35012610020005,455,45.6,5890.0,259.4,73,,31.0,19.0,7.0,7.0,,,,,,,,,,,,6.0,49.0,,,18.0,13.0,,181,,,,,,11.0,22.0,,96.0,,,,,5.0,,,,12.0,16.0,,,23.0,,,72.0,48.0,,217.0,23.0,16.0,,77.0,13.0,11.0,,12.0,16.0,33.0,
35012610020006,512,45.3,13727.6,270.3,143,,113.0,17.0,,7.0,,,,,,,,,,,,,82.0,,56.0,5.0,,,24,,,,,,,6.0,,8.0,,,,,,,,,,,,,,,,,19.0,,18.0,,,,,,,,21.0,,,
35012610020007,457,41.9,2734.1,108.6,141,,62.0,69.0,,,,,,,,,,,,,,,42.0,57.0,26.0,16.0,,,120,,,,,,,58.0,,20.0,,,,,,,6.0,5.0,,16.0,,,,,,32.0,198.0,28.0,68.0,,,,5.0,,,50.0,36.0,8.0,25.0,
35012610020101,2,56.0,175.1,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012610020102,5,50.0,317.7,0.0,5,,,,,,,,,,,,,,,,,,,5.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012610020103,5,47.6,239.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012610020104,3,53.7,301.3,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012610020201,627,43.2,45403.0,143.4,265,,265.0,,,,,,,,,,,,,,,,,265.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012610020501,560,36.0,44559.1,44.0,215,,,,,,,,,,,,,,215.0,,,,,215.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
35012610020502,402,35.4,85453.7,30.4,162,,,,,,,,,,,,,,162.0,,,,,162.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012610020503,420,36.3,47905.1,35.6,159,,,,,,,,,,,,,,159.0,,,,,159.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012610020504,454,37.0,28403.6,51.3,185,,,,,,,,,,,,,,185.0,,,,,185.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012610030001,348,51.4,4143.7,572.2,46,,18.0,19.0,,,,,,,,,,,,,,,31.0,,,15.0,33.0,,118,,,,,,,22.0,,58.0,,,,,,,,,,14.0,,,5.0,,,20.0,92.0,27.0,122.0,13.0,,5.0,9.0,5.0,,,42.0,8.0,66.0,
35012610030002,528,44.6,7607.1,215.9,122,,57.0,42.0,9.0,5.0,,,,,,,,,,,,8.0,98.0,,,16.0,,,78,,,,,,7.0,23.0,,17.0,,,,,,,,,,15.0,,,,,,42.0,48.0,,45.0,,,,,11.0,,,838.0,,19.0,
35012610030003,428,45.3,1462.2,208.1,168,,53.0,110.0,,,,,,,,,,,,,,27.0,46.0,85.0,10.0,,5.0,,27,,,,,,,6.0,,,,,,,,,,,,6.0,,,58.0,,,12.0,10.0,,5.0,,,,,,,17.0,,,9.0,
35012610030004,672,44.0,13150.2,215.9,149,,92.0,36.0,,,,,,,,,,,10.0,,,,140.0,,,9.0,,,25,,,,,,6.0,,,6.0,,,,,,,,,,7.0,,,,,,20.0,,,22.0,,,,,,,,15.0,,9.0,
35012610030201,569,46.8,40523.6,282.0,219,,,219.0,,,,,,,,,,,,,,,,219.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,
35012610030202,544,49.5,44458.4,312.2,218,,,218.0,,,,,,,,,,,,,,,,218.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012620010001,714,46.9,4162.3,211.0,214,11.0,55.0,17.0,119.0,,,,,,,,,,,,,,54.0,111.0,44.0,5.0,5.0,,77,,,5.0,,,,18.0,,14.0,,,,,,,,5.0,,18.0,,,14.0,,,13.0,47.0,,23.0,,,7.0,,5.0,,18.0,357.0,,28.0,
35012620010101,620,45.3,111216.0,251.1,263,,,263.0,,,,,,,,,,,,,,,,263.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012620010102,688,46.4,73761.1,300.0,291,,,291.0,,,,,,,,,,,,,,,,291.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,
35012620010103,329,45.0,86610.4,203.4,139,,,139.0,,,,,,,,,,,,,,,,139.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012620010201,414,43.4,92207.0,108.9,159,,,159.0,,,,,,,,,,,,,,,,159.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,
35012620010202,439,44.0,65312.6,132.1,169,,,169.0,,,,,,,,,,,,,,,,169.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
35012620020001,432,39.9,16727.6,79.5,83,,,7.0,57.0,10.0,,,,,,,,,,,,50.0,28.0,,,5.0,,,37,,,,,,,7.0,,13.0,,,,,,,,,,8.0,,,,,,11.0,12.0,,35.0,,,,,,,6.0,8.0,,11.0,
35012620020002,246,59.9,2669.6,972.7,28,,,,,,,,,19.0,,,,,,,,17.0,5.0,,,6.0,17.0,,147,,,,,,,12.0,,103.0,,,,,,,,,14.0,11.0,,,,,,24.0,36.0,,330.0,,,,6.0,,,,209.0,35.0,49.0,
35012620020003,439,37.6,6760.3,64.8,42,,,8.0,7.0,12.0,,5.0,,,,,,,,,,,34.0,,,8.0,5.0,,129,,,,,,,27.0,,48.0,,,,,,,8.0,,13.0,20.0,,,,,,8.0,94.0,,134.0,,9.0,,,,,17.0,15.0,40.0,30.0,
35012620030001,406,39.7,15650.2,91.7,64,,13.0,,24.0,11.0,,,,,,6.0,,,,,,17.0,33.0,,13.0,,,,27,,,,,,,,,11.0,,,,,,,,,,5.0,,,,,,6.0,9.0,,21.0,,,,,,,,7.0,,5.0,
35012620030002,494,50.9,3345.0,435.7,152,,84.0,17.0,11.0,12.0,,,20.0,,,,,,,,,35.0,21.0,81.0,,15.0,29.0,,185,,,6.0,,,5.0,29.0,,84.0,,,7.0,5.0,,,,,18.0,21.0,,,24.0,,,88.0,69.0,,254.0,,,16.0,16.0,7.0,11.0,7.0,128.0,49.0,39.0,
35012620030101,607,43.7,36962.7,166.2,216,,,216.0,,,,,,,,,,,,,,,,216.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
35012620030102,608,44.6,35876.1,198.3,203,,,203.0,,,,,,,,,,,,,,,,203.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
35012620040001,451,42.9,7855.4,167.6,72,,,7.0,35.0,16.0,,6.0,,,,,,,,,,20.0,45.0,,,7.0,11.0,,71,,,,,,5.0,21.0,,15.0,,,,,,,,,5.0,12.0,,,13.0,,,31.0,62.0,5.0,67.0,,,,,,,10.0,14.0,10.0,24.0,
35012620040002,427,41.3,18228.8,137.0,96,,,7.0,44.0,36.0,,,,,,,,,,,,62.0,34.0,,,,,,18,,,,,,,8.0,,,,,,,,,,,,,,,,,,,20.0,,10.0,,,,,,,,,,12.0,
35012620040003,410,36.3,11423.2,46.2,48,,,,16.0,14.0,,,,,5.0,,,,,,,,38.0,,,6.0,,,42,,,,,,,6.0,,18.0,,,,,,,,,,8.0,,,,,,17.0,18.0,,59.0,,,,21.0,,,,21.0,,10.0,
35012620040004,427,38.4,7536.5,60.0,82,,,5.0,15.0,44.0,,,,,,,,,,,,41.0,38.0,,,,,,46,,,,,,6.0,8.0,,15.0,,,,,6.0,,,,,,,,10.0,,,31.0,20.0,,39.0,,,,11.0,407.0,,,11.0,,5.0,
35012620040005,427,38.9,10776.5,102.8,85,,,7.0,50.0,19.0,,,,,,,,,,,,48.0,34.0,,,,,,46,,,5.0,,,9.0,15.0,,,,,,,,,,,,7.0,,,8.0,,,81.0,32.0,,,,,,75.0,,,,11.0,,11.0,
35012620040006,428,42.6,7475.9,171.9,78,,,,37.0,17.0,,,,,,,,,,,,33.0,37.0,,,8.0,10.0,,120,,,5.0,,,9.0,24.0,,20.0,,,13.0,,,,7.0,7.0,10.0,19.0,,,9.0,,,36.0,47.0,,50.0,,15.0,18.0,8.0,,,89.0,81.0,21.0,25.0,
35012620040101,607,37.8,68118.4,59.0,191,,,191.0,,,,,,,,,,,,,,,,191.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012620040102,494,40.6,40374.3,100.0,166,,,166.0,,,,,,,,,,,,,,,,166.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
35012620040103,406,39.1,43262.6,75.9,137,,,137.0,,,,,,,,,,,,,,,,137.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012620040201,619,34.3,38527.0,22.0,207,,,,,207.0,,,,,,,,,,,,,,207.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35012620050001,438,48.6,44.2,246.3,165,28.0,11.0,18.0,11.0,27.0,9.0,,12.0,,5.0,11.0,15.0,6.0,,,,,165.0,,,,8.0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
35012620050002,412,50.3,199.8,513.0,161,39.0,17.0,47.0,8.0,18.0,,,,6.0,5.0,5.0,,,,,,,159.0,,,,8.0,,37,,,13.0,,,8.0,8.0,,,,,,,,,,,,,,,48.0,,,57.0,19.0,5.0,5.0,,,,,,,,8.0,,,
35012620060001,651,55.1,94.6,806.9,218,75.0,28.0,44.0,13.0,19.0,,,5.0,,6.0,5.0,,7.0,,,,,210.0,,,8.0,32.0,,154,,,22.0,,,19.0,59.0,,9.0,,,9.0,,,,,6.0,,10.0,37.0,,143.0,,8.0,147.0,184.0,21.0,22.0,11.0,,15.0,20.0,34.0,,,68.0,11.0,23.0,
35012620070001,408,42.7,171.7,213.3,86,30.0,,,,10.0,,,,,6.0,,,,,14.0,,8.0,69.0,,,9.0,7.0,,60,,,,,,7.0,9.0,,30.0,,,,,,,,,,,,,11.0,,,440.0,16.0,,81.0,,,,,53.0,,,,11.0,9.0,
35012620070002,547,38.3,12125.2,52.6,115,6.0,,9.0,32.0,16.0,8.0,,,,,,5.0,21.0,,,,35.0,53.0,,20.0,7.0,,,50,,,,,,,14.0,,25.0,,,,,,,,,,6.0,,,,,,,32.0,,60.0,,,,,,,,,,8.0,
35012620070003,566,39.6,9380.4,85.0,71,,,,33.0,11.0,5.0,,,,,,,,,,,,58.0,,,12.0,9.0,,114,,,,,,,21.0,,40.0,,,,,,,,5.0,10.0,20.0,,,10.0,,,17.0,37.0,,84.0,8.0,,,,,,,29.0,22.0,47.0,
35012620070004,523,34.7,8910.7,27.2,114,,,5.0,39.0,7.0,7.0,,43.0,,,,,,,,,29.0,42.0,,39.0,,,,41,,,,,,,,,19.0,,,,,,,,,,7.0,,,,,,22.0,11.0,,53.0,,,,5.0,,,38.0,10.0,,9.0,
35012630010001,427,53.5,300.1,574.1,169,49.0,20.0,56.0,14.0,6.0,,,,,,,6.0,,,,,,161.0,,,8.0,,,65,,,,,6.0,10.0,17.0,,,,,,,,,,,,9.0,,,11.0,,114.0,112.0,51.0,5.0,10.0,,,,,,,38.0,48.0,,23.0,
35012630010002,581,52.8,211.8,364.8,227,68.0,19.0,72.0,19.0,16.0,,,9.0,5.0,,,,,,,,,225.0,,,,,,16,,,,,,,,,,,,,,,,,,,,,,25.0,,,19.0,9.0,,,,,,,,,,,,,
35012630020001,462,49.2,233.1,375.0,141,34.0,20.0,39.0,15.0,7.0,,,,5.0,,,,,5.0,,,,134.0,,,7.0,42.0,,174,,,27.0,,,24.0,72.0,,7.0,,,5.0,5.0,5.0,,6.0,,,13.0,,,156.0,,,194.0,283.0,68.0,22.0,,,6.0,36.0,8.0,,73.0,29.0,13.0,25.0,
35012630030001,271,44.7,340.9,165.2,47,7.0,,8.0,9.0,8.0,,,,,,,,,,,,,32.0,,,15.0,20.0,,353,,,11.0,,,,77.0,,88.0,,,10.0,,12.0,5.0,45.0,13.0,29.0,51.0,,,43.0,,,63.0,235.0,,311.0,17.0,15.0,10.0,10.0,50.0,156.0,214.0,238.0,68.0,117.0,
35012630030101,435,45.3,37654.7,180.9,221,,,221.0,,,,,,,,,,,,,,,,221.0,,,,,22,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,10.0,,,,9.0,,,,,11.0,15.0,,,
35012630030102,594,40.6,61119.3,70.5,223,,,223.0,,,,,,,,,,,,,,,,223.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
35012630030103,458,41.8,75737.4,95.8,192,,,192.0,,,,,,,,,,,,,,,,192.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030104,438,47.5,42831.4,260.0,241,,,241.0,,,,,,,,,,,,,,,,241.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,6.0,,,
35012630030105,459,38.9,103691.0,60.0,169,,,169.0,,,,,,,,,,,,,,,,169.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030106,535,40.4,44518.2,84.1,213,,,213.0,,,,,,,,,,,,,,,,213.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,
35012630030107,521,40.8,65603.0,82.6,213,,,213.0,,,,,,,,,,,,,,,,213.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012630030201,593,41.7,50789.9,118.2,201,,,201.0,,,,,,,,,,,,,,,,201.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,9.0,,,5.0,,,,,5.0,,,
35012630030301,545,40.3,40553.8,68.4,181,,,,,181.0,,,,,,,,,,,,,,181.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030302,360,39.3,29166.7,62.1,115,,,,,115.0,,,,,,,,,,,,,,115.0,,,,,16,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,5.0,,6.0,,,,,15.0,,,,
35012630030303,413,41.3,31679.4,74.0,135,,,,,135.0,,,,,,,,,,,,,,135.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012630030304,535,42.8,34056.4,100.0,180,,,,,180.0,,,,,,,,,,,,,,180.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,8.0,,,
35012630030401,628,42.6,34083.8,103.3,211,,,,,211.0,,,,,,,,,,,,,,211.0,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,,14.0,,,,13.0,10.0,,,
35012630030402,454,37.1,43554.6,39.1,146,,,,,146.0,,,,,,,,,,,,,,146.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,
35012630030403,420,40.0,43138.1,68.4,136,,,,,136.0,,,,,,,,,,,,,,136.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030404,553,36.8,53520.9,35.1,183,,,,,183.0,,,,,,,,,,,,,,183.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012630030501,484,40.3,65682.6,73.1,183,,,183.0,,,,,,,,,,,,,,,,183.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030502,506,39.5,61616.5,75.6,186,,,186.0,,,,,,,,,,,,,,,,186.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030503,738,44.0,61655.3,131.5,263,,,263.0,,,,,,,,,,,,,,,,263.0,,,,,23,,,,,,,5.0,,,,,,,,,,,,6.0,,,,,,10.0,11.0,,13.0,,,11.0,,,,6.0,12.0,,6.0,
35012630030601,541,39.4,32363.6,58.9,180,,,,,180.0,,,,,,,,,,,,,,180.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
35012630030602,593,37.7,39442.7,38.0,190,,,,,190.0,,,,,,,,,,,,,,190.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030603,443,35.8,49080.7,23.1,140,,,,,140.0,,,,,,,,,,,,,,140.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
35012630030604,437,38.4,45954.7,63.1,144,,,,,144.0,,,,,,,,,,,,,,144.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630030605,424,38.1,24417.0,43.8,135,,,,,135.0,,,,,,,,,,,,,,135.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,
35012630040004,285,38.3,23677.0,55.4,121,,,,121.0,,,,,,,,,,,,,,,121.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,48.0,,,,,,,,,
35012630040101,526,44.7,48982.8,212.5,218,,,218.0,,,,,,,,,,,,,,,,218.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
35012630040201,743,41.0,41967.0,106.7,266,,,266.0,,,,,,,,,,,,,,,,266.0,,,,,44,,,,,,,11.0,,12.0,,,,,,,6.0,6.0,,,,,9.0,,,,17.0,,47.0,,,10.0,,,,11.0,50.0,,,
35012630040202,582,41.3,54412.6,109.0,212,,,212.0,,,,,,,,,,,,,,,,212.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630040301,520,40.0,47397.8,80.3,193,,,193.0,,,,,,,,,,,,,,,,193.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012630040401,417,39.6,92717.5,76.2,137,,,137.0,,,,,,,,,,,,,,,,137.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012630040402,593,43.5,55310.6,150.0,216,,,216.0,,,,,,,,,,,,,,,,216.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,
35012630040403,503,41.5,2226.0,94.4,168,,,167.0,,,,,,,,,,,,,,,,167.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,18.0,21.0,,
35012630040404,606,41.5,36784.4,101.2,223,,,220.0,,,,,,,,,,,,,,,,217.0,,,,,57,,,,,,,15.0,,,,,,,,,8.0,5.0,,13.0,,,,,,42.0,29.0,,8.0,,21.0,,,,,15.0,41.0,,15.0,
35012630040601,339,43.5,48297.5,153.3,141,,,141.0,,,,,,,,,,,,,,,,141.0,,,,,13,,,,,,,5.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,5.0,
35012630040901,531,41.1,40443.3,111.8,217,,216.0,,,,,,,,,,,,,,,,,217.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012630041001,712,41.6,41282.0,100.0,293,,293.0,,,,,,,,,,,,,,,,,292.0,,,,,25,,,,,,,5.0,,6.0,,,,,,,,,,,,,,,,,11.0,,16.0,,,8.0,,,,6.0,,,6.0,
35012650010001,43,34.8,49.9,0.0,8,,,,,,,,,,,,,,,,,,6.0,,,,,,202,,,,,,,32.0,,55.0,,7.0,14.0,,,,42.0,18.0,19.0,9.0,,,13.0,,,18.0,133.0,49.0,244.0,,49.0,51.0,7.0,,,245.0,128.0,73.0,38.0,
35012650010101,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012650010102,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
35012650010201,407,31.5,46781.3,8.2,141,,,,,,,,,,,,,,,141.0,,,,141.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
