,total_pop,avg_age,pop_dens,eld_dep_ratio,total_house,ho_yr_001,ho_yr_002,ho_yr_003,ho_yr_004,ho_yr_005,ho_yr_006,ho_yr_007,ho_yr_008,ho_yr_009,ho_yr_010,ho_yr_011,ho_yr_012,ho_yr_013,ho_yr_014,ho_yr_015,ho_yr_016,ho_yr_999,ho_gb_001,ho_gb_002,ho_gb_003,ho_gb_004,ho_gb_005,ho_gb_006,ho_gb_999,total_corp,cp_bnu_001,cp_bnu_002,cp_bnu_003,cp_bnu_004,cp_bnu_005,cp_bnu_006,cp_bnu_007,cp_bnu_008,cp_bnu_009,cp_bnu_010,cp_bnu_011,cp_bnu_012,cp_bnu_013,cp_bnu_014,cp_bnu_015,cp_bnu_016,cp_bnu_017,cp_bnu_018,cp_bnu_019,cp_bem_001,cp_bem_002,cp_bem_003,cp_bem_004,cp_bem_005,cp_bem_006,cp_bem_007,cp_bem_008,cp_bem_009,cp_bem_010,cp_bem_011,cp_bem_012,cp_bem_013,cp_bem_014,cp_bem_015,cp_bem_016,cp_bem_017,cp_bem_018,cp_bem_019,cp_bem_999
35011600010001,427,49.6,7400.7,633.3,155,95.0,27.0,15.0,5.0,,,,,,,,,,,,,,,149.0,,,6.0,,,39,,,,,,,13.0,,,,,,,,,,,,6.0,,,,,,9.0,17.0,,7.0,,,,7.0,,,16.0,,,6.0,
35011600010002,565,45.4,2544.8,415.6,183,116.0,26.0,17.0,,9.0,,,,,,,,,,,,,5.0,171.0,,,7.0,,,111,,,,,,,30.0,,41.0,,,,,,,,,5.0,17.0,,,,,,,46.0,,90.0,,,,5.0,38.0,17.0,,9.0,172.0,26.0,
35011600010003,521,32.2,3951.6,1040.0,94,42.0,,,15.0,23.0,,,,,,,,,,,,,27.0,64.0,,,,,,36,,,,,,,6.0,,8.0,,,,,,,,,,9.0,,,,,,,12.0,,17.0,,,,,,,342.0,8.0,,16.0,
35011600020001,420,49.7,545.0,333.3,153,26.0,32.0,81.0,5.0,,,,,,,,,,,,,,,92.0,59.0,,,,,97,,,8.0,,,19.0,24.0,5.0,26.0,,,5.0,,,,,,,,,,24.0,,31.0,89.0,59.0,62.0,76.0,,,5.0,,,52.0,,,5.0,,
35011600020002,413,55.6,102.8,918.8,198,39.0,30.0,96.0,10.0,,,,,,5.0,,,,,,,,,118.0,56.0,20.0,,,,48,,,5.0,,,,11.0,,10.0,,,,,,,,,,9.0,,,14.0,,,11.0,19.0,,19.0,,,5.0,,,6.0,20.0,,,14.0,
35011600020003,483,63.3,127.3,2540.0,140,44.0,14.0,33.0,10.0,12.0,,,,,,5.0,9.0,,,,,,14.0,123.0,,,,9.0,,72,,,6.0,,,13.0,20.0,5.0,,,,,,,,,11.0,,6.0,,,44.0,,,40.0,48.0,10.0,12.0,,,,22.0,,,29.0,232.0,,7.0,
35011600020004,545,48.1,4083.0,365.1,183,66.0,30.0,74.0,,,,,,,,,,5.0,,,,,9.0,133.0,22.0,15.0,,6.0,,62,,,8.0,,,,17.0,,,,,,,,,10.0,,,13.0,,,9.0,,,6.0,26.0,,9.0,,,14.0,,,,17.0,,,18.0,
35011600020005,434,53.3,951.5,524.1,193,37.0,24.0,107.0,23.0,,,,,,,,,,,,,,,76.0,112.0,,,,,23,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,6.0,6.0,5.0,,,,,,,,,47.0,,9.0,
35011600020101,637,45.6,66443.2,218.5,236,,,236.0,,,,,,,,,,,,,,,,,236.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020102,437,47.1,46541.9,217.3,165,,,165.0,,,,,,,,,,,,,,,,,165.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020301,646,43.7,62096.3,122.0,251,,,251.0,,,,,,,,,,,,,,,,,251.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
35011600020401,387,44.5,24456.6,171.1,170,,,170.0,,,,,,,,,,,,,,,,,170.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011600020801,313,48.3,46422.3,245.2,133,,,133.0,,,,,,,,,,,,,,,,,133.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,5.0,,,,,,,,
35011600030001,456,57.9,77.2,1500.0,152,49.0,23.0,29.0,11.0,9.0,,5.0,,,,,,11.0,,,,,,151.0,,,,,,27,,,,,,5.0,7.0,,,,,,,,,,,,,,,5.0,,,17.0,12.0,,10.0,,,,,,,,35.0,,8.0,
35011610010001,440,51.2,8871.1,570.8,176,74.0,14.0,7.0,20.0,53.0,,,,,,,,,,,,,47.0,126.0,,,,,,47,,,7.0,,,,17.0,,6.0,,,,,,,,,,8.0,,,22.0,,,,23.0,,8.0,,,,,,,,12.0,,10.0,
35011610010002,540,49.6,458.4,338.6,213,43.0,23.0,16.0,11.0,,,,112.0,,,,,,,,,,26.0,90.0,95.0,,,,,55,,,6.0,,,,15.0,,7.0,,,,,,,,,,13.0,,,86.0,,,,26.0,,9.0,,,,,,,6.0,23.0,,15.0,
35011610010003,483,52.1,7814.3,461.1,209,78.0,113.0,7.0,,,,,,,,,,,,,,,,114.0,71.0,18.0,6.0,,,68,,,6.0,,,8.0,20.0,,6.0,,,,,,,,,,19.0,,,11.0,,,18.0,30.0,,10.0,,,,,5.0,,,113.0,,28.0,
35011610010004,425,53.3,2793.0,621.7,162,79.0,18.0,45.0,13.0,,,,,,,,,,,,,,,159.0,,,,,,72,,,12.0,,,,26.0,,12.0,,,,,,,,,,10.0,,,22.0,,,12.0,31.0,,19.0,,,,8.0,,19.0,54.0,62.0,,11.0,
35011610010005,428,53.5,8450.2,1272.7,156,67.0,21.0,32.0,17.0,11.0,,,,,,,,,,,,,6.0,143.0,,,7.0,,,59,,,5.0,,,6.0,18.0,,6.0,,,,,,,,,,14.0,,,8.0,,,21.0,19.0,,11.0,,,,,,19.0,,10.0,,18.0,
35011610010006,464,60.2,408.4,837.9,41,14.0,8.0,6.0,,,,,,,,,,,,,,,,41.0,,,,,,29,,,,,,,8.0,,7.0,,,,,,,,,,5.0,,,,,,9.0,14.0,,16.0,,,,,,,,146.0,,5.0,
35011610010007,409,52.3,6367.8,450.0,196,28.0,153.0,9.0,,,,,,,,,,,,,,,,47.0,147.0,,,,,52,,,,,,,20.0,,6.0,,,,,,,,,,12.0,,,,,,10.0,37.0,,8.0,5.0,,,,,,,7.0,,13.0,
35011610010008,542,50.4,40761.0,371.4,354,,,225.0,128.0,,,,,,,,,,,,,,17.0,,335.0,,,,,22,,,,,,,6.0,,,,,,,,,,,,,,,,,,,14.0,,6.0,,,,,,,,,,,
35011610010009,444,52.1,5333.6,538.5,188,51.0,119.0,,,13.0,,,,,,,,,,,,,11.0,63.0,85.0,27.0,,,,53,,,,,,,14.0,,7.0,,,,,,,6.0,5.0,,5.0,,,12.0,,,13.0,15.0,,12.0,,,,,,,104.0,259.0,,5.0,
35011610010010,579,49.9,6357.5,485.3,257,15.0,240.0,,,,,,,,,,,,,,,,,32.0,176.0,48.0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610010011,404,47.7,30802.0,270.3,185,,,183.0,,,,,,,,,,,,,,,,,183.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,
35011610010012,587,53.0,13909.8,664.5,275,141.0,114.0,9.0,,,,,,,,,,,,,,,,85.0,189.0,,,,,21,,,,,,,8.0,,,,,,,,,,,,,,,5.0,,,,14.0,,,,,,,,,,7.0,,,
35011610010501,494,48.0,33722.4,292.7,227,,111.0,116.0,,,,,,,,,,,,,,,,,227.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,
35011610010601,535,42.3,65969.3,119.4,200,,,200.0,,,,,,,,,,,,,,,,,200.0,,,,,20,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,14.0,,,,,,8.0,,,,,,,5.0,
35011610010901,369,47.4,68052.0,217.9,172,,,172.0,,,,,,,,,,,,,,,,,172.0,,,,,15,,,,,,,5.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,5.0,
35011610011001,538,44.4,32827.7,164.6,223,,,,223.0,,,,,,,,,,,,,,,,223.0,,,,,11,,,,,,,5.0,,,,,,,,,,,,,,,,,,,13.0,,,,,8.0,,,,,,,,
35011610011002,429,46.5,26968.6,240.0,185,,,,185.0,,,,,,,,,,,,,,,,185.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011610011101,467,50.7,51489.2,595.7,216,,,216.0,,,,,,,,,,,,,,,,,216.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010001,450,64.5,10425.8,1048.0,56,,18.0,35.0,,,,,,,,,,,,,,,,53.0,,,,,,88,,,7.0,,,9.0,19.0,,16.0,,,,,,,6.0,,,12.0,,,21.0,,,17.0,34.0,,35.0,,17.0,,11.0,,,12.0,181.0,,14.0,
35011620010002,561,44.4,7630.3,214.0,247,29.0,5.0,124.0,13.0,12.0,,,12.0,44.0,,,,,,,,,68.0,43.0,122.0,12.0,,,,29,,,,,,,10.0,,,,,,,,,,,,5.0,,,,,,7.0,21.0,,5.0,,,6.0,14.0,,,,29.0,,5.0,
35011620010003,462,45.2,5595.0,202.4,107,,30.0,67.0,8.0,,,,,,,,,,,,,,7.0,96.0,,,,,,84,,,5.0,,,14.0,18.0,,12.0,,,,,,,,6.0,,16.0,,,10.0,,,60.0,31.0,,28.0,8.0,,,12.0,,,103.0,305.0,,20.0,
35011620010004,449,40.7,5404.2,288.5,115,10.0,23.0,11.0,33.0,,,,13.0,,,5.0,6.0,,,,,,41.0,54.0,,13.0,7.0,8.0,,135,,,,,,,45.0,,20.0,,,6.0,6.0,,,5.0,14.0,7.0,20.0,,,12.0,,,,132.0,,77.0,,10.0,9.0,18.0,,,14.0,106.0,12.0,43.0,
35011620010005,517,42.8,6547.3,289.7,148,5.0,63.0,5.0,62.0,,,,,,,,,,,,,,18.0,53.0,73.0,,,,,66,,,,,,12.0,11.0,,13.0,,,5.0,,,,,,,9.0,,,,,,59.0,27.0,,40.0,77.0,,9.0,,18.0,14.0,10.0,389.0,,23.0,
35011620010006,396,51.5,2875.3,536.4,42,,,14.0,8.0,,,,,,,,,,,,,,,23.0,,,19.0,28.0,,330,,,6.0,,,10.0,54.0,,171.0,,,9.0,5.0,,,10.0,12.0,16.0,27.0,,,35.0,,,242.0,165.0,,530.0,15.0,28.0,16.0,45.0,,42.0,27.0,246.0,24.0,54.0,
35011620010007,497,40.1,8664.4,197.1,190,9.0,,21.0,92.0,24.0,,,,,33.0,,,,,,,,106.0,39.0,30.0,12.0,,,,58,,,,,,,21.0,,14.0,,,,,,,,,,10.0,,,,,,,47.0,6.0,40.0,,6.0,,,52.0,,,1449.0,,38.0,
35011620010008,577,47.7,9869.6,235.0,151,13.0,21.0,101.0,13.0,,,,,,,,,,,,,,44.0,105.0,,,,,,81,,,5.0,,,8.0,18.0,,7.0,,,,,,,14.0,,,19.0,,,10.0,,,20.0,29.0,,8.0,,,,8.0,22.0,,101.0,11.0,,28.0,
35011620010009,559,30.8,1315.7,236.8,71,15.0,,18.0,,,,,9.0,,,,,19.0,,,,,27.0,42.0,,,,5.0,,74,,,,,,6.0,12.0,,13.0,,,,9.0,,,7.0,7.0,,9.0,,,,,,14.0,25.0,,24.0,,,,40.0,10.0,,284.0,247.0,6.0,15.0,
35011620010010,572,42.3,24631.5,154.2,227,,,115.0,5.0,57.0,,,49.0,,,,,,,,,,,6.0,221.0,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,7.0,,,,,,,,
35011620010101,682,47.0,33944.3,255.9,246,,,246.0,,,,,,,,,,,,,,,,,246.0,,,,,20,,,,,,,6.0,,,,,,,,,,,,,,,,,,,8.0,,,,9.0,9.0,,,,,7.0,,,
35011620010201,423,43.6,34239.8,139.6,164,,,,,,,164.0,,,,,,,,,,,,,164.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,
35011620010202,437,42.6,34888.6,129.7,155,,,,,,,155.0,,,,,,,,,,,,,155.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010203,483,42.2,32377.9,98.5,179,,,,,,,179.0,,,,,,,,,,,,,179.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010301,653,46.8,30870.9,228.4,248,,,248.0,,,,,,,,,,,,,,,,,248.0,,,,,27,,,,,,,8.0,,,,,,,,,,,,,,,,,,,16.0,,5.0,,,12.0,,,,,7.0,,,
35011620010401,413,43.4,54013.4,197.1,160,,,160.0,,,,,,,,,,,,,,,,,160.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620010402,466,45.5,35176.6,197.1,169,,,169.0,,,,,,,,,,,,,,,,,169.0,,,,,13,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,8.0,,,,,,,10.0,
35011620010601,594,44.0,62208.4,172.2,243,,,243.0,,,,,,,,,,,,,,,,,243.0,,,,,16,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,6.0,,,,,,,5.0,
35011620010701,483,43.8,52101.1,158.3,172,,,172.0,,,,,,,,,,,,,,,,,172.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,5.0,,,,,,,,
35011620010901,344,45.7,36747.0,211.4,147,,147.0,,,,,,,,,,,,,,,,,,146.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011001,397,36.0,41676.8,37.3,128,,,,,,,,,,,128.0,,,,,,,,,128.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,9.0,,8.0,
35011620011002,596,37.2,54093.9,50.4,208,,,,,,,,,,,207.0,,,,,,,,,207.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011201,465,46.4,45532.9,214.0,175,,,175.0,,,,,,,,,,,,,,,,,175.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011202,497,48.6,32210.5,341.2,208,,,208.0,,,,,,,,,,,,,,,,,208.0,,,,,101,,,,,,82.0,6.0,,,,,,,,,,,,,,,,,,91.0,6.0,,,,,13.0,,,,,,,,
35011620011301,445,35.1,39558.0,31.0,155,,,,,155.0,,,,,,,,,,,,,,,155.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,6.0,,,,,,,,
35011620011401,455,44.9,38645.7,209.3,170,,,170.0,,,,,,,,,,,,,,,,,170.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
35011620011402,360,47.8,54465.4,275.8,135,,,135.0,,,,,,,,,,,,,,,,,135.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011620011501,411,45.2,34897.7,179.6,154,,,154.0,,,,,,,,,,,,,,,,,154.0,,,,,10,,,,5.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,7.0,,,,,,5.0,,
35011620011801,448,45.6,50672.9,193.3,205,,,205.0,,,,,,,,,,,,,,,,,205.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,,,,,,,
35011620011901,575,43.8,48241.3,162.5,236,,,236.0,,,,,,,,,,,,,,,,,236.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,5.0,,,,,,,,
35011630010001,426,38.1,1561.3,47.9,130,,,,,,,,19.0,9.0,7.0,21.0,28.0,36.0,,,,,,50.0,,72.0,,,,92,,,,,,6.0,28.0,,15.0,,,12.0,5.0,,,5.0,9.0,5.0,,,,,,,36.0,94.0,,40.0,,,17.0,33.0,,,7.0,64.0,72.0,5.0,
35011630010002,389,42.2,3310.8,157.1,70,5.0,,33.0,,6.0,,,,,8.0,,,,,,6.0,,8.0,40.0,,,22.0,6.0,,214,,,6.0,14.0,,12.0,34.0,,53.0,,,8.0,16.0,6.0,,15.0,8.0,8.0,27.0,,,18.0,14.0,,127.0,54.0,,132.0,,24.0,11.0,34.0,10.0,,178.0,125.0,10.0,49.0,
35011630010101,551,40.9,93169.2,102.4,204,,,204.0,,,,,,,,,,,,,,,,,204.0,,,,,19,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,6.0,,,,,,,,
35011630010201,602,41.6,93303.0,87.5,244,,,244.0,,,,,,,,,,,,,,,,,244.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630010202,419,41.1,70963.0,87.9,169,,,169.0,,,,,,,,,,,,,,,,,169.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630010203,494,42.0,44600.3,110.7,176,,,176.0,,,,,,,,,,,,,,,,,176.0,,,,,36,,,,,,,,,,,,5.0,,,,,,,12.0,,,,,,,5.0,,,,,12.0,,,,5.0,14.0,,14.0,
35011630020001,447,40.7,9270.8,158.6,63,,,33.0,7.0,10.0,,5.0,,,,,,,,,,,,56.0,,,7.0,5.0,,164,,,9.0,,,14.0,48.0,,28.0,,,5.0,11.0,7.0,,6.0,5.0,5.0,20.0,,,13.0,,,116.0,116.0,,55.0,19.0,7.0,7.0,55.0,16.0,,20.0,24.0,12.0,20.0,
35011630020002,514,37.5,18093.7,80.4,89,,,35.0,28.0,11.0,,,,,,,,,,,,,24.0,52.0,,9.0,,,,153,,,5.0,,,19.0,32.0,70.0,10.0,,,,,,,,,,5.0,,,13.0,,,130.0,66.0,75.0,22.0,,,,7.0,9.0,,,,,5.0,
35011630020003,423,36.5,11278.5,64.7,56,,,18.0,9.0,11.0,,,,,,,,,,,,,,49.0,,,7.0,,,132,,,10.0,,,18.0,30.0,,13.0,,,,14.0,,,,,7.0,20.0,,,21.0,6.0,,49.0,66.0,,30.0,8.0,,,64.0,,,20.0,15.0,9.0,22.0,
35011630020004,487,37.4,11445.7,82.9,102,,,34.0,35.0,22.0,,,,,,,,,,,,,23.0,46.0,,26.0,7.0,,,98,,,,,,12.0,27.0,,13.0,,,6.0,,5.0,,8.0,,,19.0,,,6.0,21.0,,68.0,39.0,,17.0,5.0,,7.0,8.0,9.0,,107.0,,,38.0,
35011630020005,440,39.4,9054.7,137.5,88,8.0,,31.0,7.0,,,,20.0,,,,,,,,,,28.0,49.0,,,11.0,,,117,,,8.0,,,10.0,37.0,,13.0,,,6.0,,,,7.0,,,20.0,,,12.0,,,52.0,72.0,,31.0,9.0,,6.0,,,,47.0,,,29.0,
35011630020006,486,38.8,10833.6,73.7,137,,,15.0,73.0,39.0,,,,,,,,,,,,,70.0,34.0,28.0,,5.0,5.0,,141,,,8.0,,,15.0,48.0,,15.0,,,,7.0,10.0,,6.0,,5.0,16.0,,,17.0,,,76.0,113.0,,31.0,,,,13.0,88.0,,102.0,,8.0,24.0,
35011630020007,410,43.6,5381.5,159.4,165,,,64.0,18.0,69.0,,,,,,,,,,,,,6.0,21.0,124.0,,14.0,5.0,,173,,,,,,7.0,46.0,,50.0,,,7.0,9.0,,,,6.0,14.0,18.0,,,,5.0,,86.0,106.0,,133.0,11.0,17.0,20.0,13.0,10.0,,23.0,98.0,19.0,65.0,
35011630020008,591,39.6,12344.3,136.4,96,,,32.0,39.0,10.0,,,,,,,,,,,,,37.0,49.0,,,10.0,,,156,,,8.0,,,15.0,39.0,,24.0,,,8.0,18.0,6.0,,9.0,,,17.0,,,17.0,,,68.0,84.0,,70.0,,,14.0,146.0,9.0,,45.0,19.0,,23.0,
35011630020009,383,38.0,3493.9,67.5,79,,,,43.0,13.0,,5.0,,,,,,,,,,,7.0,36.0,,,36.0,14.0,,403,,,8.0,,,16.0,78.0,,78.0,,,23.0,11.0,5.0,,115.0,8.0,12.0,38.0,,,21.0,,,450.0,161.0,,227.0,16.0,11.0,29.0,31.0,14.0,15.0,329.0,85.0,22.0,58.0,
35011630020010,517,43.4,5748.5,142.1,94,,,50.0,24.0,,,6.0,,,,,,,,,,,14.0,68.0,,,12.0,9.0,,249,,,14.0,6.0,,21.0,86.0,,40.0,,,5.0,18.0,11.0,,,,13.0,25.0,,,45.0,6.0,,87.0,169.0,,83.0,14.0,,12.0,39.0,38.0,,,36.0,13.0,41.0,
35011630020011,459,35.6,15589.8,52.3,67,,,,14.0,27.0,,,,,,,6.0,,,,,,15.0,40.0,,8.0,,5.0,,92,,,5.0,,,13.0,38.0,,5.0,,,,,,,,,,17.0,,,8.0,,,36.0,66.0,,14.0,,6.0,,5.0,22.0,,,,,27.0,
35011630020012,386,39.4,2581.1,130.3,78,,,15.0,23.0,25.0,,,6.0,,,,,,,,,,24.0,31.0,,14.0,9.0,8.0,,257,,,6.0,,,15.0,88.0,8.0,26.0,5.0,,19.0,17.0,8.0,,13.0,15.0,11.0,20.0,,,10.0,,,71.0,277.0,14.0,70.0,49.0,9.0,20.0,100.0,357.0,,25.0,251.0,14.0,30.0,
35011630020013,520,44.1,13627.5,184.6,233,,107.0,94.0,,30.0,,,,,,,,,,,,,,,230.0,,,,,26,,,,,,,6.0,,,,,5.0,,,,,,,,,,,,,,7.0,,9.0,,,8.0,21.0,,,,,,,
35011630020014,461,39.5,12415.9,83.7,59,,,16.0,15.0,14.0,,,,,,,,,,,,,,56.0,,,,,,98,,,9.0,,,11.0,24.0,,13.0,,,5.0,9.0,,,,,,17.0,,,23.0,,,952.0,44.0,,20.0,5.0,,5.0,23.0,29.0,,,91.0,,18.0,
35011630020015,473,38.8,5934.5,84.6,84,,,9.0,50.0,12.0,,,,,,,,,,,,,21.0,37.0,,,26.0,12.0,,312,,,6.0,,,30.0,60.0,,105.0,,,16.0,15.0,,,21.0,,16.0,32.0,,,16.0,,8.0,382.0,123.0,,226.0,5.0,10.0,33.0,97.0,12.0,,63.0,16.0,17.0,47.0,
35011630020016,436,37.6,9453.1,51.2,82,,,41.0,17.0,8.0,,,6.0,,,,,,,,,,14.0,46.0,,14.0,8.0,,,121,,,7.0,,,15.0,33.0,,19.0,,,7.0,12.0,5.0,,7.0,,,8.0,,,12.0,,,60.0,47.0,,37.0,,,8.0,44.0,5.0,,70.0,,,12.0,
35011630020017,437,37.5,8517.1,60.8,93,,,31.0,13.0,39.0,,,,,,,,,,,,,44.0,46.0,,,,8.0,,167,,,,,,13.0,64.0,,28.0,,,9.0,12.0,,,,8.0,12.0,8.0,,,10.0,,,93.0,151.0,,62.0,,,27.0,45.0,13.0,,,72.0,20.0,12.0,
35011630020201,615,41.5,25693.2,80.7,224,,,,,224.0,,,,,,,,,,,,,,,224.0,,,,,12,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,7.0,,,,,,,,
35011630020301,521,36.9,45545.4,52.3,162,,,,162.0,,,,,,,,,,,,,,,,162.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020302,626,37.8,51412.4,48.4,220,,,,220.0,,,,,,,,,,,,,,,,220.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020303,599,35.9,51966.5,30.8,193,,,,193.0,,,,,,,,,,,,,,,,193.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020304,603,34.8,49370.5,27.1,195,,,,195.0,,,,,,,,,,,,,,,,195.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,9.0,,16.0,
35011630020305,658,38.3,53962.7,58.3,215,,,,215.0,,,,,,,,,,,,,,,,215.0,,,,,28,,,,,,,,,,,,5.0,,,,12.0,,,,,,,,,,6.0,,,,,5.0,,,,19.0,,,,
35011630020401,531,38.2,45431.0,54.3,169,,,,169.0,,,,,,,,,,,,,,,,169.0,,,,,22,,,,,,,6.0,,,,,,,,,7.0,,,,,,,,,,7.0,,9.0,,,,,,,7.0,,,,
35011630020402,480,38.7,39912.2,53.6,148,,,,148.0,,,,,,,,,,,,,,,,148.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
35011630020403,448,37.6,41157.9,31.3,138,,,,138.0,,,,,,,,,,,,,,,,138.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020404,577,37.2,47596.5,52.1,184,,,,184.0,,,,,,,,,,,,,,,,184.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,7.0,,17.0,
35011630020405,555,39.0,45626.7,69.1,184,,,,184.0,,,,,,,,,,,,,,,,184.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35011630020601,387,35.6,68003.0,29.8,129,,,,129.0,,,,,,,,,,,,,,,,129.0,,,,,14,,,,,,,6.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,5.0,,,
35011630020602,478,38.5,53264.8,56.5,170,,,,170.0,,,,,,,,,,,,,,,,170.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,10.0,,,
35011630020801,536,42.6,43682.1,127.6,218,,,218.0,,,,,,,,,,,,,,,,,218.0,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
35011630020802,528,45.1,35298.5,178.1,200,,,200.0,,,,,,,,,,,,,,,,,200.0,,,,,22,,,,,,,11.0,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,,,,,,,,
35011640010001,394,52.1,3974.9,914.3,138,45.0,52.0,24.0,9.0,,,,,,,,,,,,,,13.0,105.0,15.0,,5.0,,,102,,,5.0,,,6.0,48.0,,9.0,,,5.0,,,,,5.0,,12.0,,,5.0,,,14.0,88.0,,18.0,,7.0,5.0,28.0,24.0,,,12.0,,14.0,
35011640010002,412,49.3,11977.8,276.9,220,15.0,19.0,8.0,157.0,13.0,7.0,,,,,,,,,,,,19.0,43.0,156.0,,,,,38,,,,,,,12.0,,,,,,,,,,,,9.0,,,,,,,19.0,,13.0,,,,,,,,6.0,,20.0,
35011640010003,407,46.4,3095.1,289.3,105,34.0,26.0,6.0,,7.0,,,,21.0,,,,5.0,,,,,37.0,60.0,,8.0,,,,16,,,,,,5.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,34.0,,,,
35011640020001,367,46.1,7737.9,265.5,132,,,77.0,48.0,,,,,,,,,,,,,,,13.0,112.0,,,5.0,,75,,,5.0,,,,14.0,,13.0,,,6.0,,,,7.0,,,19.0,,,16.0,,,18.0,41.0,,25.0,,,10.0,,,,40.0,30.0,,22.0,
35011640020002,321,72.6,1427.7,2320.0,17,,,6.0,,,,5.0,,,,,,,,,,,,14.0,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,8.0,,,11.0,,,,,174.0,,,
35011640020003,519,48.3,7733.1,373.5,190,6.0,106.0,12.0,60.0,,,,,,,,,,,,,,6.0,24.0,59.0,98.0,,6.0,,132,,,5.0,,,7.0,39.0,,19.0,,,8.0,,,,,12.0,6.0,27.0,,,9.0,,,19.0,85.0,,33.0,,12.0,11.0,,,21.0,6.0,189.0,11.0,41.0,
